Timestamp	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
12:00:04.170 AM 2025-08-02 	 221.102200 	 220.425275 	 295.825116 	 295.734835 	 -66625.344822 	 295.527480 	 296.269883 	 295.940697
12:00:09.280 AM 2025-08-02 	 222.303607 	 219.572384 	 295.822511 	 295.733302 	 -66625.307253 	 295.542393 	 296.267849 	 295.949012
12:00:14.402 AM 2025-08-02 	 222.217810 	 221.087739 	 295.819446 	 295.732229 	 -66625.063064 	 295.542810 	 296.292710 	 295.944724
12:00:19.543 AM 2025-08-02 	 222.033888 	 221.291516 	 295.818373 	 295.731923 	 -66624.975408 	 295.509965 	 296.286242 	 295.913788
12:00:24.671 AM 2025-08-02 	 222.360721 	 221.431566 	 295.817607 	 295.729317 	 -66624.862709 	 295.528339 	 296.252406 	 295.935440
12:00:29.836 AM 2025-08-02 	 222.606034 	 221.102853 	 295.815768 	 295.728091 	 -66624.743750 	 295.514670 	 296.261794 	 295.937308
12:00:34.988 AM 2025-08-02 	 222.666922 	 220.968597 	 295.815615 	 295.727631 	 -66624.543402 	 295.524683 	 296.288244 	 295.935550
12:00:40.128 AM 2025-08-02 	 222.754480 	 221.462296 	 295.814082 	 295.726864 	 -66624.355579 	 295.522033 	 296.271966 	 295.930551
12:00:45.277 AM 2025-08-02 	 221.471554 	 220.813686 	 295.814082 	 295.725025 	 -66624.192803 	 295.529374 	 296.260961 	 295.936474
12:00:50.439 AM 2025-08-02 	 221.905318 	 222.852715 	 295.814695 	 295.724872 	 -66624.067592 	 295.513325 	 296.266563 	 295.942550
12:00:55.596 AM 2025-08-02 	 221.704539 	 221.013181 	 295.814695 	 295.725638 	 -66623.817175 	 295.523134 	 296.254731 	 295.928358
12:01:00.739 AM 2025-08-02 	 222.013760 	 222.034333 	 295.812703 	 295.722266 	 -66623.767093 	 295.510217 	 296.254527 	 295.930976
12:01:05.918 AM 2025-08-02 	 222.650568 	 222.159017 	 295.811937 	 295.722266 	 -66623.497904 	 295.521832 	 296.268944 	 295.931291
12:01:11.062 AM 2025-08-02 	 222.232151 	 221.226781 	 295.811477 	 295.722266 	 -66623.316363 	 295.511204 	 296.259273 	 295.925376
12:01:16.182 AM 2025-08-02 	 221.970232 	 221.577661 	 295.810864 	 295.720886 	 -66623.328883 	 295.522555 	 296.273427 	 295.930602
12:01:21.307 AM 2025-08-02 	 222.360972 	 221.328796 	 295.810405 	 295.719660 	 -66623.128565 	 295.535393 	 296.253807 	 295.911438
12:01:26.414 AM 2025-08-02 	 222.383868 	 221.012677 	 295.809792 	 295.719660 	 -66622.909473 	 295.506248 	 296.270309 	 295.921366
12:01:31.559 AM 2025-08-02 	 222.574835 	 220.911922 	 295.810251 	 295.720733 	 -66622.771761 	 295.536763 	 296.271629 	 295.932096
12:01:36.696 AM 2025-08-02 	 222.622137 	 221.798314 	 295.808719 	 295.721193 	 -66622.533898 	 295.502362 	 296.257498 	 295.905722
12:01:41.820 AM 2025-08-02 	 222.035649 	 221.549701 	 295.809332 	 295.719507 	 -66622.502601 	 295.510710 	 296.266772 	 295.925824
12:01:47.015 AM 2025-08-02 	 221.859275 	 220.723258 	 295.808106 	 295.719047 	 -66622.339857 	 295.518051 	 296.247775 	 295.939274
12:01:52.188 AM 2025-08-02 	 222.160696 	 221.778415 	 295.808719 	 295.717821 	 -66622.095747 	 295.514230 	 296.243491 	 295.916169
12:01:57.308 AM 2025-08-02 	 221.657992 	 221.812672 	 295.809025 	 295.717514 	 -66622.008119 	 295.511519 	 296.255357 	 295.915812
12:02:02.444 AM 2025-08-02 	 221.299709 	 221.123759 	 295.808566 	 295.716901 	 -66621.914233 	 295.508782 	 296.233349 	 295.911666
12:02:07.567 AM 2025-08-02 	 222.112137 	 221.355496 	 295.807186 	 295.716441 	 -66621.814089 	 295.480121 	 296.262089 	 295.919255
12:02:12.700 AM 2025-08-02 	 221.763162 	 222.907123 	 295.805961 	 295.715062 	 -66621.638840 	 295.483644 	 296.260435 	 295.907250
12:02:17.873 AM 2025-08-02 	 222.975640 	 221.716199 	 295.803355 	 295.713835 	 -66621.482370 	 295.503253 	 296.259798 	 295.920726
12:02:23.011 AM 2025-08-02 	 222.263602 	 221.996298 	 295.801976 	 295.712149 	 -66621.375972 	 295.510824 	 296.249962 	 295.902886
12:02:28.151 AM 2025-08-02 	 222.549172 	 221.203104 	 295.799678 	 295.710923 	 -66621.094337 	 295.514384 	 296.241764 	 295.928084
12:02:33.277 AM 2025-08-02 	 221.492437 	 222.000832 	 295.798758 	 295.710770 	 -66621.019235 	 295.498540 	 296.257912 	 295.936716
12:02:38.420 AM 2025-08-02 	 222.320464 	 221.670607 	 295.799065 	 295.711230 	 -66620.812710 	 295.504289 	 296.246258 	 295.896356
12:02:43.585 AM 2025-08-02 	 222.376320 	 221.284212 	 295.799678 	 295.710770 	 -66620.768902 	 295.509290 	 296.246550 	 295.906058
12:02:48.753 AM 2025-08-02 	 222.124214 	 221.038873 	 295.800597 	 295.710157 	 -66620.649996 	 295.477728 	 296.255468 	 295.893811
12:02:53.897 AM 2025-08-02 	 221.811219 	 221.250207 	 295.799218 	 295.710310 	 -66620.562382 	 295.504210 	 296.260283 	 295.898630
12:02:59.040 AM 2025-08-02 	 221.873868 	 222.009144 	 295.800137 	 295.710770 	 -66620.430962 	 295.506499 	 296.235772 	 295.887744
12:03:04.167 AM 2025-08-02 	 221.357074 	 222.298311 	 295.800137 	 295.710463 	 -66620.224450 	 295.490119 	 296.230229 	 295.914189
12:03:09.324 AM 2025-08-02 	 222.812098 	 221.351717 	 295.798911 	 295.709237 	 -66620.236966 	 295.477456 	 296.257548 	 295.913770
12:03:14.454 AM 2025-08-02 	 221.951362 	 221.830304 	 295.800904 	 295.709697 	 -66620.168129 	 295.489418 	 296.231881 	 295.907373
12:03:19.604 AM 2025-08-02 	 221.833360 	 220.988244 	 295.800444 	 295.709390 	 -66620.049231 	 295.477632 	 296.248791 	 295.887129
12:03:24.773 AM 2025-08-02 	 221.203345 	 221.854233 	 295.799065 	 295.710310 	 -66619.974138 	 295.487214 	 296.271051 	 295.894351
12:03:29.926 AM 2025-08-02 	 222.067854 	 220.801091 	 295.799065 	 295.708317 	 -66619.999169 	 295.507564 	 296.254699 	 295.896805
12:03:35.076 AM 2025-08-02 	 221.422240 	 221.097563 	 295.797686 	 295.708011 	 -66619.955365 	 295.516331 	 296.246058 	 295.906977
12:03:40.199 AM 2025-08-02 	 221.865565 	 222.103602 	 295.797226 	 295.707857 	 -66619.811439 	 295.457355 	 296.242652 	 295.903097
12:03:45.344 AM 2025-08-02 	 222.408274 	 221.831059 	 295.795080 	 295.708011 	 -66619.761378 	 295.508477 	 296.229284 	 295.889720
12:03:50.492 AM 2025-08-02 	 222.221584 	 221.280937 	 295.796000 	 295.706478 	 -66619.742605 	 295.478265 	 296.237670 	 295.904228
12:03:55.625 AM 2025-08-02 	 221.805683 	 221.464059 	 295.796153 	 295.708011 	 -66619.636228 	 295.486307 	 296.221252 	 295.902854
12:04:00.771 AM 2025-08-02 	 222.484761 	 222.012922 	 295.793242 	 295.705865 	 -66619.467277 	 295.515283 	 296.237489 	 295.908752
12:04:05.881 AM 2025-08-02 	 222.532566 	 221.642647 	 295.794008 	 295.706784 	 -66619.410961 	 295.507048 	 296.239140 	 295.889233
12:04:11.017 AM 2025-08-02 	 222.098550 	 221.606376 	 295.796153 	 295.705865 	 -66619.348388 	 295.498317 	 296.229953 	 295.893212
12:04:16.177 AM 2025-08-02 	 223.085087 	 221.561540 	 295.796766 	 295.705865 	 -66619.267043 	 295.502224 	 296.229622 	 295.901349
12:04:21.300 AM 2025-08-02 	 222.193656 	 221.592774 	 295.796919 	 295.706324 	 -66619.173185 	 295.474059 	 296.243814 	 295.927783
12:04:26.438 AM 2025-08-02 	 221.568421 	 222.075894 	 295.795540 	 295.704945 	 -66619.066814 	 295.472212 	 296.225045 	 295.900533
12:04:31.563 AM 2025-08-02 	 221.611194 	 221.526024 	 295.795234 	 295.705251 	 -66618.922902 	 295.473509 	 296.267711 	 295.907004
12:04:36.689 AM 2025-08-02 	 222.363740 	 221.577912 	 295.796000 	 295.704638 	 -66618.822791 	 295.458503 	 296.214178 	 295.913653
12:04:41.837 AM 2025-08-02 	 221.759388 	 221.151215 	 295.796766 	 295.706171 	 -66618.710167 	 295.500894 	 296.211369 	 295.892493
12:04:46.993 AM 2025-08-02 	 222.128491 	 221.937104 	 295.796766 	 295.705558 	 -66618.597544 	 295.484425 	 296.236298 	 295.900503
12:04:52.124 AM 2025-08-02 	 221.825560 	 221.928792 	 295.795387 	 295.705865 	 -66618.541233 	 295.491259 	 296.245942 	 295.898392
12:04:57.260 AM 2025-08-02 	 223.125847 	 222.145415 	 295.794621 	 295.705251 	 -66618.397329 	 295.473720 	 296.229371 	 295.887925
12:05:02.413 AM 2025-08-02 	 222.121949 	 221.185472 	 295.794314 	 295.704792 	 -66618.297223 	 295.500152 	 296.218620 	 295.899750
12:05:07.547 AM 2025-08-02 	 221.769453 	 221.514437 	 295.793088 	 295.704025 	 -66618.165836 	 295.490198 	 296.202100 	 295.897332
12:05:12.691 AM 2025-08-02 	 222.626666 	 221.302851 	 295.791403 	 295.704485 	 -66617.896811 	 295.474975 	 296.236266 	 295.894825
12:05:17.825 AM 2025-08-02 	 221.505269 	 221.385974 	 295.792169 	 295.704332 	 -66617.859274 	 295.464462 	 296.230001 	 295.900788
12:05:22.956 AM 2025-08-02 	 222.213030 	 221.314690 	 295.790943 	 295.704945 	 -66617.721637 	 295.477556 	 296.252947 	 295.905873
12:05:28.082 AM 2025-08-02 	 221.895758 	 221.695796 	 295.792322 	 295.704178 	 -66617.621538 	 295.463021 	 296.237025 	 295.881471
12:05:33.192 AM 2025-08-02 	 222.234416 	 221.122752 	 295.791249 	 295.704178 	 -66617.402577 	 295.455535 	 296.247887 	 295.881519
12:05:38.297 AM 2025-08-02 	 221.702526 	 221.084213 	 295.790024 	 295.702952 	 -66617.283714 	 295.492722 	 296.225307 	 295.891385
12:05:43.461 AM 2025-08-02 	 222.378081 	 220.843660 	 295.789411 	 295.701879 	 -66617.146086 	 295.466733 	 296.226627 	 295.894588
12:05:48.580 AM 2025-08-02 	 221.992122 	 221.973880 	 295.788338 	 295.701879 	 -66616.877091 	 295.469403 	 296.217069 	 295.876555
12:05:53.709 AM 2025-08-02 	 222.531811 	 222.167833 	 295.787265 	 295.699120 	 -66616.720702 	 295.497960 	 296.215962 	 295.889091
12:05:58.845 AM 2025-08-02 	 221.627800 	 222.231309 	 295.785733 	 295.697894 	 -66616.570571 	 295.483692 	 296.216291 	 295.888479
12:06:03.978 AM 2025-08-02 	 222.208249 	 221.874132 	 295.784507 	 295.696208 	 -66616.432953 	 295.481247 	 296.215730 	 295.905326
12:06:09.117 AM 2025-08-02 	 221.776749 	 220.769605 	 295.782668 	 295.694522 	 -66616.307848 	 295.475086 	 296.216631 	 295.893995
12:06:14.214 AM 2025-08-02 	 221.753350 	 221.214943 	 295.782362 	 295.695901 	 -66616.038877 	 295.468809 	 296.217887 	 295.862788
12:06:19.329 AM 2025-08-02 	 221.342230 	 220.643914 	 295.782668 	 295.696668 	 -66616.038877 	 295.458449 	 296.212715 	 295.894781
12:06:24.475 AM 2025-08-02 	 222.459098 	 221.446427 	 295.782975 	 295.696208 	 -66615.882503 	 295.450748 	 296.235115 	 295.889439
12:06:29.579 AM 2025-08-02 	 221.645412 	 221.361541 	 295.783281 	 295.695748 	 -66615.619799 	 295.464275 	 296.221352 	 295.884134
12:06:34.710 AM 2025-08-02 	 221.742783 	 220.737868 	 295.783128 	 295.693909 	 -66615.388376 	 295.460034 	 296.207715 	 295.891660
12:06:39.822 AM 2025-08-02 	 221.408402 	 221.340382 	 295.782668 	 295.693755 	 -66615.300812 	 295.476630 	 296.229926 	 295.878600
12:06:44.973 AM 2025-08-02 	 221.329901 	 221.475142 	 295.781595 	 295.692529 	 -66615.194485 	 295.463482 	 296.213978 	 295.880990
12:06:50.080 AM 2025-08-02 	 222.310400 	 221.651715 	 295.780216 	 295.692222 	 -66615.013108 	 295.481578 	 296.203836 	 295.884014
12:06:55.222 AM 2025-08-02 	 222.939157 	 221.669348 	 295.781289 	 295.691149 	 -66614.794208 	 295.470325 	 296.207176 	 295.871830
12:07:00.346 AM 2025-08-02 	 221.701268 	 221.349954 	 295.779144 	 295.690690 	 -66614.681633 	 295.464686 	 296.204367 	 295.892544
12:07:05.430 AM 2025-08-02 	 221.412930 	 219.824523 	 295.779450 	 295.690076 	 -66614.575314 	 295.465665 	 296.216158 	 295.886465
12:07:10.571 AM 2025-08-02 	 221.745802 	 221.199829 	 295.776692 	 295.689923 	 -66614.356425 	 295.443110 	 296.211505 	 295.878986
12:07:15.717 AM 2025-08-02 	 222.419344 	 221.105371 	 295.777151 	 295.689310 	 -66614.200079 	 295.457542 	 296.216040 	 295.879290
12:07:20.847 AM 2025-08-02 	 222.705921 	 221.428039 	 295.776538 	 295.688084 	 -66613.974945 	 295.459449 	 296.211832 	 295.882606
12:07:26.000 AM 2025-08-02 	 222.099808 	 221.447183 	 295.776845 	 295.687777 	 -66613.793591 	 295.453529 	 296.215795 	 295.879985
12:07:31.116 AM 2025-08-02 	 221.496966 	 220.966330 	 295.776998 	 295.690076 	 -66613.624748 	 295.463671 	 296.213697 	 295.878356
12:07:36.278 AM 2025-08-02 	 222.114401 	 221.242650 	 295.776692 	 295.688237 	 -66613.530947 	 295.471294 	 296.194508 	 295.881738
12:07:41.424 AM 2025-08-02 	 222.592951 	 221.723503 	 295.776079 	 295.688237 	 -66613.312083 	 295.464280 	 296.197379 	 295.878023
12:07:46.562 AM 2025-08-02 	 222.176799 	 221.733831 	 295.777764 	 295.688084 	 -66613.193273 	 295.448726 	 296.210059 	 295.871893
12:07:51.695 AM 2025-08-02 	 222.677741 	 221.593781 	 295.775772 	 295.687164 	 -66612.886876 	 295.438058 	 296.209282 	 295.878643
12:07:56.829 AM 2025-08-02 	 221.941549 	 221.094036 	 295.776079 	 295.687164 	 -66612.668027 	 295.464007 	 296.200398 	 295.858460
12:08:01.959 AM 2025-08-02 	 223.387263 	 221.053734 	 295.775772 	 295.685018 	 -66612.392910 	 295.454409 	 296.203039 	 295.866279
12:08:07.096 AM 2025-08-02 	 221.726177 	 221.783705 	 295.774700 	 295.685018 	 -66612.224093 	 295.464551 	 296.217396 	 295.872178
12:08:12.215 AM 2025-08-02 	 222.364998 	 220.744669 	 295.775006 	 295.684098 	 -66611.905223 	 295.450536 	 296.190709 	 295.873231
12:08:17.348 AM 2025-08-02 	 222.068861 	 220.911418 	 295.775313 	 295.682566 	 -66611.717658 	 295.466252 	 296.208281 	 295.865409
12:08:22.487 AM 2025-08-02 	 221.426769 	 221.316201 	 295.775006 	 295.682566 	 -66611.430065 	 295.466021 	 296.200058 	 295.864237
12:08:27.623 AM 2025-08-02 	 221.377957 	 221.364564 	 295.775006 	 295.682412 	 -66611.173741 	 295.446139 	 296.188200 	 295.855664
12:08:32.784 AM 2025-08-02 	 222.137548 	 221.120737 	 295.775006 	 295.682566 	 -66610.923674 	 295.462543 	 296.203167 	 295.866878
