Timestamp                  	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 raw R (Ohm)	RTD1 raw R (Ohm)	DAQ thermistor T (K)
5:40:56.924 PM 10/16/2022 	 4.441645 	 297.647000 	 44.546000 	 -121.275077 	 4.468599 	 297.647000 	 44.546000 	 -121.275077 	 99.160418 	 108.983660 	 301.632933
5:40:57.423 PM 10/16/2022 	 4.442634 	 297.647000 	 44.546000 	 -121.275077 	 4.475025 	 297.647000 	 44.546000 	 -121.275077 	 99.160418 	 108.983660 	 301.632933
5:40:57.923 PM 10/16/2022 	 4.447074 	 297.647000 	 44.546000 	 -121.321131 	 4.468259 	 297.647000 	 44.546000 	 -121.321131 	 99.160299 	 108.983957 	 301.632378
5:40:58.423 PM 10/16/2022 	 4.451062 	 297.647000 	 44.546000 	 -121.321131 	 4.459683 	 297.647000 	 44.546000 	 -121.321131 	 99.160299 	 108.983957 	 301.632378
5:40:58.923 PM 10/16/2022 	 4.447396 	 297.647000 	 44.546000 	 -119.791690 	 4.479142 	 297.647000 	 44.546000 	 -119.791690 	 99.160299 	 108.983838 	 301.632299
5:40:59.423 PM 10/16/2022 	 4.441209 	 297.647000 	 44.546000 	 -119.791690 	 4.471774 	 297.647000 	 44.546000 	 -119.791690 	 99.160299 	 108.983838 	 301.632299
5:40:59.923 PM 10/16/2022 	 4.446588 	 297.647000 	 44.546000 	 -119.778321 	 4.467010 	 297.647000 	 44.546000 	 -119.778321 	 99.160001 	 108.984017 	 301.631664
5:41:00.423 PM 10/16/2022 	 4.437695 	 297.647000 	 44.546000 	 -121.463120 	 4.473340 	 297.647000 	 44.546000 	 -121.463120 	 99.160299 	 108.984136 	 301.631558
5:41:00.923 PM 10/16/2022 	 4.444377 	 297.647000 	 44.546000 	 -121.463120 	 4.461787 	 297.647000 	 44.546000 	 -121.463120 	 99.160299 	 108.984136 	 301.631558
5:41:01.423 PM 10/16/2022 	 4.456385 	 297.647000 	 44.546000 	 -121.407747 	 4.464126 	 297.647000 	 44.546000 	 -121.407747 	 99.159882 	 108.984017 	 301.630924
5:41:01.923 PM 10/16/2022 	 4.453212 	 297.647000 	 44.546000 	 -121.324935 	 4.468733 	 297.647000 	 44.546000 	 -121.324935 	 99.159942 	 108.984196 	 301.630897
5:41:02.424 PM 10/16/2022 	 4.447481 	 297.647000 	 44.546000 	 -121.324935 	 4.468419 	 297.647000 	 44.546000 	 -121.324935 	 99.159942 	 108.984196 	 301.630897
5:41:02.923 PM 10/16/2022 	 4.447024 	 297.647000 	 44.546000 	 -121.333286 	 4.470287 	 297.647000 	 44.546000 	 -121.333286 	 99.160359 	 108.984077 	 301.630712
5:41:41.159 PM 10/16/2022 	 0.000000 	 297.647000 	 44.546000 	 -13258.983262 	 0.000000 	 297.647000 	 44.546000 	 -13258.983262 	 0.000000 	 0.000000 	 0.000000
5:41:41.659 PM 10/16/2022 	 4.439519 	 297.647000 	 44.546000 	 -120.467752 	 4.463640 	 297.647000 	 44.546000 	 -120.467752 	 99.160418 	 108.985387 	 301.618710
5:41:42.159 PM 10/16/2022 	 4.432706 	 297.647000 	 44.546000 	 -120.583952 	 4.465174 	 297.647000 	 44.546000 	 -120.583952 	 99.159942 	 108.985625 	 301.617996
5:41:42.659 PM 10/16/2022 	 4.446832 	 297.647000 	 44.546000 	 -119.925070 	 4.460466 	 297.647000 	 44.546000 	 -119.925070 	 99.160180 	 108.986161 	 301.617705
5:41:43.159 PM 10/16/2022 	 4.433052 	 297.647000 	 44.546000 	 -119.925070 	 4.466865 	 297.647000 	 44.546000 	 -119.925070 	 99.160180 	 108.986161 	 301.617705
5:41:43.659 PM 10/16/2022 	 4.434998 	 297.647000 	 44.546000 	 -120.136260 	 4.454960 	 297.647000 	 44.546000 	 -120.136260 	 99.159644 	 108.985804 	 301.617679
5:41:44.159 PM 10/16/2022 	 4.443417 	 297.647000 	 44.546000 	 -119.929375 	 4.456028 	 297.647000 	 44.546000 	 -119.929375 	 99.159942 	 108.985923 	 301.618075
5:41:44.659 PM 10/16/2022 	 4.442629 	 297.647000 	 44.546000 	 -120.677494 	 4.466760 	 297.647000 	 44.546000 	 -120.677494 	 99.159942 	 108.985923 	 301.617785
5:41:45.159 PM 10/16/2022 	 4.437555 	 297.647000 	 44.546000 	 -120.677494 	 4.466734 	 297.647000 	 44.546000 	 -120.677494 	 99.159942 	 108.985923 	 301.617785
5:41:45.659 PM 10/16/2022 	 4.453055 	 297.647000 	 44.546000 	 -121.113009 	 4.462904 	 297.647000 	 44.546000 	 -121.113009 	 99.160120 	 108.985804 	 301.617441
5:41:46.159 PM 10/16/2022 	 4.437424 	 297.647000 	 44.546000 	 -120.752420 	 4.464112 	 297.647000 	 44.546000 	 -120.752420 	 99.160240 	 108.986280 	 301.617520
5:41:46.659 PM 10/16/2022 	 4.430230 	 297.647000 	 44.546000 	 -120.865770 	 4.459488 	 297.647000 	 44.546000 	 -120.865770 	 99.159525 	 108.986042 	 301.617335
5:41:50.562 PM 10/16/2022 	 0.000000 	 297.647000 	 44.546000 	 -13258.983262 	 0.000000 	 297.647000 	 44.546000 	 -13258.983262 	 0.000000 	 0.000000 	 0.000000
5:41:51.062 PM 10/16/2022 	 4.440272 	 297.647000 	 44.546000 	 -120.401114 	 4.462229 	 297.647000 	 44.546000 	 -120.401114 	 99.159644 	 108.986161 	 301.616463
5:41:51.562 PM 10/16/2022 	 4.430056 	 297.647000 	 44.546000 	 -120.576271 	 4.467787 	 297.647000 	 44.546000 	 -120.576271 	 99.159942 	 108.986519 	 301.616304
5:41:52.063 PM 10/16/2022 	 4.445404 	 297.647000 	 44.546000 	 -120.247424 	 4.460783 	 297.647000 	 44.546000 	 -120.247424 	 99.159465 	 108.986459 	 301.616146
5:41:52.562 PM 10/16/2022 	 4.441218 	 297.647000 	 44.546000 	 -120.247424 	 4.457451 	 297.647000 	 44.546000 	 -120.247424 	 99.159465 	 108.986459 	 301.616146
5:41:53.063 PM 10/16/2022 	 4.442442 	 297.647000 	 44.546000 	 -120.177269 	 4.455516 	 297.647000 	 44.546000 	 -120.177269 	 99.160061 	 108.986221 	 301.616304
5:41:53.562 PM 10/16/2022 	 4.439135 	 297.647000 	 44.546000 	 -120.177269 	 4.462255 	 297.647000 	 44.546000 	 -120.177269 	 99.160061 	 108.986221 	 301.616304
