Timestamp                   	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
2:38:23.107 PM 7/13/2023 	 1.905955 	 1.340287 	 296.477649 	 295.657215 	 296.453983 	 296.499093 	 296.166776 	 296.258457
2:38:33.607 PM 7/13/2023 	 1.496663 	 2.287954 	 296.479795 	 295.655376 	 296.464345 	 296.400433 	 296.164919 	 296.397143
2:38:43.607 PM 7/13/2023 	 0.665153 	 1.504619 	 296.483627 	 295.653536 	 296.483420 	 296.194350 	 296.152503 	 296.545911
2:38:54.107 PM 7/13/2023 	 0.396050 	 2.246288 	 296.485926 	 295.653076 	 296.455690 	 296.241360 	 296.149676 	 296.674150
2:39:04.607 PM 7/13/2023 	 0.321387 	 1.816131 	 296.490678 	 295.652310 	 296.453911 	 296.186923 	 296.160122 	 296.589698
2:39:14.607 PM 7/13/2023 	 -0.118102 	 1.575387 	 296.493437 	 295.652463 	 296.449978 	 296.185338 	 296.153364 	 296.589993
2:39:24.607 PM 7/13/2023 	 1.351731 	 1.901551 	 296.496349 	 295.652770 	 296.441344 	 296.250044 	 296.164945 	 296.402339
2:39:35.107 PM 7/13/2023 	 0.878379 	 1.803227 	 296.489912 	 295.652923 	 296.467955 	 296.425662 	 296.161949 	 296.193922
2:39:45.107 PM 7/13/2023 	 1.395684 	 1.529436 	 296.476883 	 295.653230 	 296.444873 	 296.559521 	 296.168475 	 296.235239
2:39:55.107 PM 7/13/2023 	 1.562516 	 2.862182 	 296.463548 	 295.654303 	 296.449173 	 296.444944 	 296.138923 	 296.221676
2:40:05.607 PM 7/13/2023 	 0.788240 	 2.358075 	 296.450673 	 295.653383 	 296.446614 	 296.548107 	 296.174449 	 296.224757
2:40:15.607 PM 7/13/2023 	 0.485684 	 1.903789 	 296.441016 	 295.652463 	 296.457187 	 296.553979 	 296.163399 	 296.259781
2:40:26.108 PM 7/13/2023 	 1.368330 	 1.921690 	 296.427222 	 295.654303 	 296.467151 	 296.561123 	 296.152681 	 296.314408
2:40:36.607 PM 7/13/2023 	 0.532170 	 1.950582 	 296.413580 	 295.654916 	 296.446546 	 296.477091 	 296.170150 	 296.298027
2:40:46.607 PM 7/13/2023 	 0.612818 	 1.745934 	 296.401318 	 295.656295 	 296.460296 	 296.429751 	 296.175444 	 296.224812
2:40:57.107 PM 7/13/2023 	 1.482202 	 1.497411 	 296.389057 	 295.655376 	 296.458156 	 296.383904 	 296.165309 	 296.223611
2:41:07.108 PM 7/13/2023 	 0.645944 	 2.128460 	 296.377408 	 295.657062 	 296.450887 	 296.326812 	 296.161798 	 296.189069
2:41:17.108 PM 7/13/2023 	 0.966573 	 1.807897 	 296.367445 	 295.657675 	 296.473831 	 296.303697 	 296.169709 	 296.172530
2:41:27.607 PM 7/13/2023 	 0.644739 	 0.605351 	 296.355490 	 295.658595 	 296.465025 	 296.361165 	 296.166540 	 296.253520
2:41:37.607 PM 7/13/2023 	 1.203853 	 1.851240 	 296.346907 	 295.659054 	 296.463191 	 296.353220 	 296.171288 	 296.243693
2:41:48.107 PM 7/13/2023 	 0.814205 	 3.059377 	 296.339243 	 295.658441 	 296.442842 	 296.375637 	 296.166913 	 296.212051
2:41:58.107 PM 7/13/2023 	 0.771810 	 2.167315 	 296.332040 	 295.659668 	 296.447510 	 296.396756 	 296.160770 	 296.227535
2:42:08.108 PM 7/13/2023 	 0.645334 	 1.632133 	 296.327901 	 295.659974 	 296.468651 	 296.343640 	 296.155592 	 296.232701
2:42:18.108 PM 7/13/2023 	 0.964965 	 1.923674 	 296.322230 	 295.660127 	 296.503075 	 296.302869 	 296.190509 	 296.199913
2:42:28.608 PM 7/13/2023 	 1.411400 	 1.314696 	 296.314107 	 295.661200 	 296.464187 	 296.308622 	 296.177927 	 296.152536
