Timestamp                  	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 raw R (Ohm)	RTD1 raw R (Ohm)
8:57:39.253 PM 10/14/2022 	 3.994414 	 297.647000 	 44.546000 	 -85.786335 	 4.002027 	 297.647000 	 44.546000 	 -85.786335 	 99.870969 	 109.041676
8:57:50.253 PM 10/14/2022 	 4.001105 	 297.647000 	 44.546000 	 -85.552089 	 4.020014 	 297.647000 	 44.546000 	 -85.552089 	 99.869361 	 109.041557
8:58:01.503 PM 10/14/2022 	 3.998658 	 297.647000 	 44.546000 	 -86.545146 	 4.021323 	 297.647000 	 44.546000 	 -86.545146 	 99.867812 	 109.041140
8:58:12.753 PM 10/14/2022 	 3.996363 	 297.647000 	 44.546000 	 -86.533055 	 4.023151 	 297.647000 	 44.546000 	 -86.533055 	 99.865490 	 109.041319
8:58:24.003 PM 10/14/2022 	 3.991546 	 297.647000 	 44.546000 	 -85.156584 	 4.015355 	 297.647000 	 44.546000 	 -85.156584 	 99.864001 	 109.041021
8:58:35.253 PM 10/14/2022 	 3.997576 	 297.647000 	 44.546000 	 -85.773449 	 4.018655 	 297.647000 	 44.546000 	 -85.773449 	 99.862750 	 109.040962
8:58:46.254 PM 10/14/2022 	 4.005093 	 297.647000 	 44.546000 	 -86.181469 	 4.022836 	 297.647000 	 44.546000 	 -86.181469 	 99.860903 	 109.041081
8:58:57.504 PM 10/14/2022 	 3.992724 	 297.647000 	 44.546000 	 -86.133079 	 4.015884 	 297.647000 	 44.546000 	 -86.133079 	 99.859176 	 109.040783
8:59:08.753 PM 10/14/2022 	 4.005812 	 297.647000 	 44.546000 	 -86.212107 	 4.009005 	 297.647000 	 44.546000 	 -86.212107 	 99.857449 	 109.040842
8:59:20.003 PM 10/14/2022 	 3.999051 	 297.647000 	 44.546000 	 -84.980787 	 4.017563 	 297.647000 	 44.546000 	 -84.980787 	 99.855364 	 109.040545
8:59:31.254 PM 10/14/2022 	 3.997696 	 297.647000 	 44.546000 	 -86.739062 	 4.018617 	 297.647000 	 44.546000 	 -86.739062 	 99.853756 	 109.040187
8:59:42.503 PM 10/14/2022 	 4.000718 	 297.647000 	 44.546000 	 -86.083863 	 4.021861 	 297.647000 	 44.546000 	 -86.083863 	 99.851969 	 109.039413
8:59:54.004 PM 10/14/2022 	 4.002469 	 297.647000 	 44.546000 	 -85.640755 	 4.006930 	 297.647000 	 44.546000 	 -85.640755 	 99.850421 	 109.040068
9:00:05.254 PM 10/14/2022 	 3.997666 	 297.647000 	 44.546000 	 -86.494688 	 4.017956 	 297.647000 	 44.546000 	 -86.494688 	 99.848753 	 109.039711
9:00:16.503 PM 10/14/2022 	 4.005198 	 297.647000 	 44.546000 	 -85.639927 	 4.009741 	 297.647000 	 44.546000 	 -85.639927 	 99.847026 	 109.039770
9:00:27.753 PM 10/14/2022 	 3.996453 	 297.647000 	 44.546000 	 -86.297911 	 4.010649 	 297.647000 	 44.546000 	 -86.297911 	 99.845537 	 109.039651
9:00:39.003 PM 10/14/2022 	 3.995447 	 297.647000 	 44.546000 	 -86.076957 	 4.029297 	 297.647000 	 44.546000 	 -86.076957 	 99.843691 	 109.039353
9:00:50.504 PM 10/14/2022 	 4.003720 	 297.647000 	 44.546000 	 -87.137776 	 4.012028 	 297.647000 	 44.546000 	 -87.137776 	 99.841963 	 109.039294
9:01:02.003 PM 10/14/2022 	 3.994353 	 297.647000 	 44.546000 	 -85.398810 	 4.017796 	 297.647000 	 44.546000 	 -85.398810 	 99.840117 	 109.038996
9:01:13.503 PM 10/14/2022 	 4.002597 	 297.647000 	 44.546000 	 -86.572888 	 4.015605 	 297.647000 	 44.546000 	 -86.572888 	 99.838449 	 109.038936
9:01:25.003 PM 10/14/2022 	 3.990504 	 297.647000 	 44.546000 	 -85.777014 	 4.012200 	 297.647000 	 44.546000 	 -85.777014 	 99.836960 	 109.038519
9:01:36.253 PM 10/14/2022 	 3.991560 	 297.647000 	 44.546000 	 -85.867334 	 4.020060 	 297.647000 	 44.546000 	 -85.867334 	 99.835174 	 109.038639
