Timestamp	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
12:03:17.846 AM 9/30/2024 	 504.918258 	 504.175300 	 294.757196 	 294.847285 	 -66371.476201 	 -66371.476201 	 -66371.476201 	 295.485524
12:03:22.987 AM 9/30/2024 	 504.257295 	 503.611072 	 294.756889 	 294.846059 	 -66371.415267 	 -66371.415267 	 -66371.415267 	 295.474445
12:03:28.145 AM 9/30/2024 	 504.422599 	 503.300494 	 294.755511 	 294.846978 	 -66371.281214 	 -66371.281214 	 -66371.281214 	 295.487552
12:03:33.315 AM 9/30/2024 	 504.538085 	 503.872783 	 294.757196 	 294.845293 	 -66371.591977 	 -66371.591977 	 -66371.591977 	 295.469988
12:03:38.486 AM 9/30/2024 	 504.594444 	 504.075049 	 294.756430 	 294.845752 	 -66371.914937 	 -66371.914937 	 -66371.914937 	 295.481198
12:03:43.604 AM 9/30/2024 	 504.587651 	 503.902757 	 294.756583 	 294.845293 	 -66372.030718 	 -66372.030718 	 -66372.030718 	 295.490618
12:03:48.798 AM 9/30/2024 	 505.344223 	 504.222655 	 294.756889 	 294.845599 	 -66371.768689 	 -66371.768689 	 -66371.768689 	 295.483425
12:03:53.991 AM 9/30/2024 	 504.695337 	 504.409555 	 294.756736 	 294.844680 	 -66371.457921 	 -66371.457921 	 -66371.457921 	 295.496751
12:03:59.182 AM 9/30/2024 	 505.709551 	 504.017870 	 294.755358 	 294.845599 	 -66370.903438 	 -66370.903438 	 -66370.903438 	 295.476118
12:04:04.359 AM 9/30/2024 	 504.519215 	 503.788149 	 294.756736 	 294.844067 	 -66370.738928 	 -66370.738928 	 -66370.738928 	 295.476387
12:04:09.526 AM 9/30/2024 	 504.440211 	 504.583106 	 294.756430 	 294.843760 	 -66370.519585 	 -66370.519585 	 -66370.519585 	 295.482082
12:04:14.714 AM 9/30/2024 	 505.969206 	 504.016862 	 294.756736 	 294.843607 	 -66370.598791 	 -66370.598791 	 -66370.598791 	 295.482406
12:04:19.878 AM 9/30/2024 	 504.607528 	 504.474038 	 294.755051 	 294.843300 	 -66370.489121 	 -66370.489121 	 -66370.489121 	 295.475835
12:04:25.041 AM 9/30/2024 	 505.494178 	 503.992178 	 294.755970 	 294.842228 	 -66370.190580 	 -66370.190580 	 -66370.190580 	 295.484974
12:04:30.209 AM 9/30/2024 	 505.930962 	 503.236767 	 294.755664 	 294.841002 	 -66370.117469 	 -66370.117469 	 -66370.117469 	 295.484675
