11:56:42.483 AM 9/20/2022 	 109.244702 	 296.781305 	 109.059725 	 296.326682 	 295.059522 	 294.111705 	 294.684209 	 294.060226 
11:56:49.667 AM 9/20/2022 	 109.244344 	 296.780386 	 109.059606 	 296.326376 	 295.032197 	 294.102744 	 294.678562 	 294.052209 
11:56:56.885 AM 9/20/2022 	 109.244166 	 296.779926 	 109.059784 	 296.326836 	 295.010993 	 294.094250 	 294.656398 	 294.043713 
11:57:04.102 AM 9/20/2022 	 109.244583 	 296.780999 	 109.059903 	 296.327142 	 295.081113 	 294.120589 	 294.678461 	 294.038410 
11:57:11.290 AM 9/20/2022 	 109.244047 	 296.779619 	 109.059784 	 296.326836 	 295.026990 	 294.100360 	 294.671935 	 294.034237 
11:57:18.490 AM 9/20/2022 	 109.244642 	 296.781152 	 109.060142 	 296.327755 	 294.985857 	 294.067647 	 294.663791 	 294.050172 
11:57:25.692 AM 9/20/2022 	 109.245178 	 296.782532 	 109.060142 	 296.327755 	 295.057162 	 294.101784 	 294.679961 	 294.014878 
11:57:32.887 AM 9/20/2022 	 109.246131 	 296.784984 	 109.060499 	 296.328675 	 295.055511 	 294.080766 	 294.688214 	 294.060929 
11:57:40.103 AM 9/20/2022 	 109.246488 	 296.785904 	 109.060618 	 296.328982 	 295.083132 	 294.109390 	 294.686142 	 294.045630 
11:57:47.289 AM 9/20/2022 	 109.247620 	 296.788817 	 109.060559 	 296.328829 	 295.108248 	 294.094415 	 294.676375 	 294.056632 
11:57:54.484 AM 9/20/2022 	 109.247680 	 296.788970 	 109.061214 	 296.330515 	 295.076238 	 294.120427 	 294.709429 	 294.074616 
11:58:01.691 AM 9/20/2022 	 109.248156 	 296.790196 	 109.060976 	 296.329902 	 295.048342 	 294.112309 	 294.692359 	 294.056579 
11:58:08.868 AM 9/20/2022 	 109.248037 	 296.789890 	 109.061273 	 296.330668 	 295.034453 	 294.122478 	 294.703460 	 294.089892 
11:58:16.091 AM 9/20/2022 	 109.248514 	 296.791116 	 109.061333 	 296.330822 	 294.980641 	 294.092649 	 294.667063 	 294.040695 
11:58:23.252 AM 9/20/2022 	 109.249824 	 296.794488 	 109.061333 	 296.330822 	 295.034365 	 294.079886 	 294.667052 	 294.050130 
11:58:30.497 AM 9/20/2022 	 109.250003 	 296.794948 	 109.061512 	 296.331282 	 295.054221 	 294.075696 	 294.661924 	 294.049246 
11:58:37.711 AM 9/20/2022 	 109.250836 	 296.797094 	 109.062226 	 296.333122 	 294.980871 	 294.104685 	 294.692292 	 294.062179 
11:58:44.880 AM 9/20/2022 	 109.251194 	 296.798014 	 109.062882 	 296.334808 	 294.944806 	 294.118143 	 294.709978 	 294.066192 
11:58:52.078 AM 9/20/2022 	 109.251492 	 296.798781 	 109.063001 	 296.335115 	 294.993469 	 294.094166 	 294.677541 	 294.060161 
11:58:59.298 AM 9/20/2022 	 109.250896 	 296.797248 	 109.062763 	 296.334501 	 295.037485 	 294.105681 	 294.676778 	 294.053729 
11:59:06.502 AM 9/20/2022 	 109.250598 	 296.796481 	 109.062584 	 296.334041 	 294.977265 	 294.104851 	 294.703778 	 294.058094 
11:59:13.725 AM 9/20/2022 	 109.249645 	 296.794028 	 109.062048 	 296.332662 	 294.946869 	 294.100847 	 294.664874 	 294.038975 
11:59:20.903 AM 9/20/2022 	 109.248335 	 296.790656 	 109.061750 	 296.331895 	 294.974534 	 294.082280 	 294.679348 	 294.047329 
11:59:28.102 AM 9/20/2022 	 109.247501 	 296.788510 	 109.061512 	 296.331282 	 295.002502 	 294.081964 	 294.673844 	 294.060238 
