"ZView Export Data File: Version 3.3c"
"Export From File: C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-n9deg.z"
"Date/Time:  12/6/2020 4:26:49 PM"
" "
" "
"C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-n9deg.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Z'"	"Z''"
0	1.000000E+06	1.836400E+03	9.666700E+01	1.836400E+03	9.666700E+01
1	7.943282E+05	2.205000E+03	1.206000E+01	2.205000E+03	1.206000E+01
2	6.309573E+05	7.765800E+03	-1.555200E+04	7.765800E+03	-1.555200E+04
3	5.011872E+05	9.659300E+03	-2.105300E+04	9.659300E+03	-2.105300E+04
4	3.981072E+05	1.194500E+04	-2.681300E+04	1.194500E+04	-2.681300E+04
5	3.162278E+05	1.484300E+04	-3.295300E+04	1.484300E+04	-3.295300E+04
6	2.511886E+05	1.805800E+04	-3.985900E+04	1.805800E+04	-3.985900E+04
7	1.995262E+05	2.163100E+04	-4.760900E+04	2.163100E+04	-4.760900E+04
8	1.584893E+05	2.524800E+04	-5.688600E+04	2.524800E+04	-5.688600E+04
9	1.258925E+05	2.910000E+04	-6.812100E+04	2.910000E+04	-6.812100E+04
10	1.000000E+05	3.326300E+04	-8.184300E+04	3.326300E+04	-8.184300E+04
11	7.943282E+04	3.803400E+04	-9.942000E+04	3.803400E+04	-9.942000E+04
12	6.309573E+04	4.378900E+04	-1.282800E+05	4.378900E+04	-1.282800E+05
13	5.011872E+04	5.018600E+04	-1.574900E+05	5.018600E+04	-1.574900E+05
14	3.981072E+04	6.016700E+04	-1.931100E+05	6.016700E+04	-1.931100E+05
15	3.162278E+04	7.135100E+04	-2.379600E+05	7.135100E+04	-2.379600E+05
16	2.511886E+04	8.768400E+04	-2.929000E+05	8.768400E+04	-2.929000E+05
17	1.995262E+04	1.086800E+05	-3.606100E+05	1.086800E+05	-3.606100E+05
18	1.584893E+04	1.404100E+05	-4.389900E+05	1.404100E+05	-4.389900E+05
19	1.258925E+04	1.749400E+05	-5.347800E+05	1.749400E+05	-5.347800E+05
20	1.000000E+04	2.235100E+05	-6.488300E+05	2.235100E+05	-6.488300E+05
21	7.943282E+03	2.856100E+05	-7.813400E+05	2.856100E+05	-7.813400E+05
22	6.309573E+03	3.671700E+05	-9.471100E+05	3.671700E+05	-9.471100E+05
23	5.011872E+03	4.747400E+05	-1.124300E+06	4.747400E+05	-1.124300E+06
24	3.981072E+03	5.891700E+05	-1.355800E+06	5.891700E+05	-1.355800E+06
25	3.162278E+03	7.574700E+05	-1.594600E+06	7.574700E+05	-1.594600E+06
26	2.511886E+03	9.767800E+05	-1.910900E+06	9.767800E+05	-1.910900E+06
27	1.995262E+03	1.241300E+06	-2.221100E+06	1.241300E+06	-2.221100E+06
28	1.584893E+03	1.630000E+06	-2.623600E+06	1.630000E+06	-2.623600E+06
29	1.258925E+03	2.123700E+06	-2.957900E+06	2.123700E+06	-2.957900E+06
30	1.000000E+03	2.742200E+06	-3.301900E+06	2.742200E+06	-3.301900E+06
31	7.943282E+02	3.434900E+06	-3.677100E+06	3.434900E+06	-3.677100E+06
32	6.309573E+02	4.286400E+06	-3.767500E+06	4.286400E+06	-3.767500E+06
33	5.011872E+02	5.166900E+06	-3.817800E+06	5.166900E+06	-3.817800E+06
34	3.981072E+02	6.066100E+06	-3.701800E+06	6.066100E+06	-3.701800E+06
35	3.162278E+02	6.926800E+06	-3.289800E+06	6.926800E+06	-3.289800E+06
36	2.511886E+02	7.574600E+06	-3.099400E+06	7.574600E+06	-3.099400E+06
37	1.995262E+02	8.132400E+06	-2.697500E+06	8.132400E+06	-2.697500E+06
38	1.584893E+02	8.615800E+06	-2.238800E+06	8.615800E+06	-2.238800E+06
39	1.258925E+02	8.885300E+06	-1.910000E+06	8.885300E+06	-1.910000E+06
40	1.000000E+02	9.161200E+06	-1.610500E+06	9.161200E+06	-1.610500E+06
41	7.943282E+01	9.334800E+06	-1.312300E+06	9.334800E+06	-1.312300E+06
42	6.309573E+01	9.567900E+06	-1.158200E+06	9.567900E+06	-1.158200E+06
43	5.011872E+01	9.686200E+06	-9.112300E+05	9.686200E+06	-9.112300E+05
44	4.000000E+01	9.884800E+06	-7.470800E+05	9.884800E+06	-7.470800E+05
