"ZView Export Data File: Version 3.3c"
"Export From File: C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-Un2deg.z"
"Date/Time:  12/6/2020 4:27:41 PM"
" "
" "
"C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-Un2deg.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Z'"	"Z''"
0	1.000000E+06	5.956900E+03	-8.920700E+03	5.956900E+03	-8.920700E+03
1	7.943282E+05	6.652200E+03	-1.246900E+04	6.652200E+03	-1.246900E+04
2	6.309573E+05	8.278500E+03	-1.702300E+04	8.278500E+03	-1.702300E+04
3	5.011872E+05	1.072200E+04	-2.168400E+04	1.072200E+04	-2.168400E+04
4	3.981072E+05	1.389300E+04	-2.638500E+04	1.389300E+04	-2.638500E+04
5	3.162278E+05	1.766000E+04	-3.107900E+04	1.766000E+04	-3.107900E+04
6	2.511886E+05	2.186700E+04	-3.586700E+04	2.186700E+04	-3.586700E+04
7	1.995262E+05	2.646300E+04	-4.094100E+04	2.646300E+04	-4.094100E+04
8	1.584893E+05	3.159300E+04	-4.648200E+04	3.159300E+04	-4.648200E+04
9	1.258925E+05	3.736100E+04	-5.271700E+04	3.736100E+04	-5.271700E+04
10	1.000000E+05	4.423500E+04	-5.972600E+04	4.423500E+04	-5.972600E+04
11	7.943282E+04	5.245200E+04	-6.741900E+04	5.245200E+04	-6.741900E+04
12	6.309573E+04	6.196900E+04	-7.289900E+04	6.196900E+04	-7.289900E+04
13	5.011872E+04	7.351600E+04	-8.048400E+04	7.351600E+04	-8.048400E+04
14	3.981072E+04	8.724300E+04	-8.755200E+04	8.724300E+04	-8.755200E+04
15	3.162278E+04	1.029500E+05	-9.330800E+04	1.029500E+05	-9.330800E+04
16	2.511886E+04	1.204100E+05	-9.677900E+04	1.204100E+05	-9.677900E+04
17	1.995262E+04	1.385800E+05	-9.739900E+04	1.385800E+05	-9.739900E+04
18	1.584893E+04	1.567000E+05	-9.483000E+04	1.567000E+05	-9.483000E+04
19	1.258925E+04	1.734200E+05	-8.908800E+04	1.734200E+05	-8.908800E+04
20	1.000000E+04	1.877500E+05	-8.093800E+04	1.877500E+05	-8.093800E+04
21	7.943282E+03	1.985600E+05	-7.081800E+04	1.985600E+05	-7.081800E+04
22	6.309573E+03	2.064000E+05	-6.039000E+04	2.064000E+05	-6.039000E+04
23	5.011872E+03	2.112900E+05	-5.016300E+04	2.112900E+05	-5.016300E+04
24	3.981072E+03	2.132200E+05	-4.079400E+04	2.132200E+05	-4.079400E+04
25	3.162278E+03	2.134500E+05	-3.270800E+04	2.134500E+05	-3.270800E+04
26	2.511886E+03	2.121700E+05	-2.585100E+04	2.121700E+05	-2.585100E+04
27	1.995262E+03	2.094500E+05	-2.017300E+04	2.094500E+05	-2.017300E+04
28	1.584893E+03	2.058400E+05	-1.564600E+04	2.058400E+05	-1.564600E+04
29	1.258925E+03	2.021400E+05	-1.212200E+04	2.021400E+05	-1.212200E+04
30	1.000000E+03	1.982000E+05	-9.364100E+03	1.982000E+05	-9.364100E+03
31	7.943282E+02	1.940100E+05	-7.368700E+03	1.940100E+05	-7.368700E+03
32	6.309573E+02	1.898800E+05	-5.802500E+03	1.898800E+05	-5.802500E+03
33	5.011872E+02	1.850800E+05	-4.578900E+03	1.850800E+05	-4.578900E+03
34	3.981072E+02	1.807500E+05	-3.790400E+03	1.807500E+05	-3.790400E+03
35	3.162278E+02	1.758800E+05	-3.178000E+03	1.758800E+05	-3.178000E+03
36	2.511886E+02	1.637100E+05	-2.708800E+03	1.637100E+05	-2.708800E+03
37	1.995262E+02	1.599000E+05	-2.471800E+03	1.599000E+05	-2.471800E+03
38	1.584893E+02	1.566500E+05	-2.336800E+03	1.566500E+05	-2.336800E+03
39	1.258925E+02	1.534300E+05	-2.287800E+03	1.534300E+05	-2.287800E+03
40	1.000000E+02	1.502800E+05	-2.290900E+03	1.502800E+05	-2.290900E+03
41	7.943282E+01	1.471300E+05	-2.332100E+03	1.471300E+05	-2.332100E+03
42	6.309573E+01	1.441400E+05	-2.410700E+03	1.441400E+05	-2.410700E+03
43	5.011872E+01	1.413400E+05	-2.561000E+03	1.413400E+05	-2.561000E+03
44	4.000000E+01	1.386500E+05	-2.676200E+03	1.386500E+05	-2.676200E+03
