"ZView Export Data File: Version 3.3c"
"Export From File: C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-U10deg.z"
"Date/Time:  12/6/2020 4:28:26 PM"
" "
" "
"C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-U10deg.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Z'"	"Z''"
0	1.000000E+06	4.048500E+02	4.649700E+01	4.048500E+02	4.649700E+01
1	7.943282E+05	4.126900E+02	3.525800E+01	4.126900E+02	3.525800E+01
2	6.309573E+05	4.177200E+02	2.732700E+01	4.177200E+02	2.732700E+01
3	5.011872E+05	4.206500E+02	2.108900E+01	4.206500E+02	2.108900E+01
4	3.981072E+05	4.225200E+02	1.612800E+01	4.225200E+02	1.612800E+01
5	3.162278E+05	4.237400E+02	1.215100E+01	4.237400E+02	1.215100E+01
6	2.511886E+05	4.245600E+02	8.650600E+00	4.245600E+02	8.650600E+00
7	1.995262E+05	4.253400E+02	5.485700E+00	4.253400E+02	5.485700E+00
8	1.584893E+05	4.256000E+02	3.440800E+00	4.256000E+02	3.440800E+00
9	1.258925E+05	4.260200E+02	1.328100E+00	4.260200E+02	1.328100E+00
10	1.000000E+05	4.263300E+02	-3.322000E-01	4.263300E+02	-3.322000E-01
11	7.943282E+04	4.266800E+02	-2.119400E+00	4.266800E+02	-2.119400E+00
12	6.309573E+04	4.264100E+02	-4.420600E+00	4.264100E+02	-4.420600E+00
13	5.011872E+04	4.267700E+02	-6.328000E+00	4.267700E+02	-6.328000E+00
14	3.981072E+04	4.272200E+02	-8.532700E+00	4.272200E+02	-8.532700E+00
15	3.162278E+04	4.276500E+02	-1.110900E+01	4.276500E+02	-1.110900E+01
16	2.511886E+04	4.283500E+02	-1.390400E+01	4.283500E+02	-1.390400E+01
17	1.995262E+04	4.291300E+02	-1.715000E+01	4.291300E+02	-1.715000E+01
18	1.584893E+04	4.301100E+02	-2.101400E+01	4.301100E+02	-2.101400E+01
19	1.258925E+04	4.314000E+02	-2.563600E+01	4.314000E+02	-2.563600E+01
20	1.000000E+04	4.330100E+02	-3.116700E+01	4.330100E+02	-3.116700E+01
21	7.943282E+03	4.351100E+02	-3.784600E+01	4.351100E+02	-3.784600E+01
22	6.309573E+03	4.378400E+02	-4.580100E+01	4.378400E+02	-4.580100E+01
23	5.011872E+03	4.413200E+02	-5.521400E+01	4.413200E+02	-5.521400E+01
24	3.981072E+03	4.458300E+02	-6.636800E+01	4.458300E+02	-6.636800E+01
25	3.162278E+03	4.515900E+02	-7.943800E+01	4.515900E+02	-7.943800E+01
26	2.511886E+03	4.588800E+02	-9.463300E+01	4.588800E+02	-9.463300E+01
27	1.995262E+03	4.680300E+02	-1.122400E+02	4.680300E+02	-1.122400E+02
28	1.584893E+03	4.793900E+02	-1.323300E+02	4.793900E+02	-1.323300E+02
29	1.258925E+03	4.932700E+02	-1.551800E+02	4.932700E+02	-1.551800E+02
30	1.000000E+03	5.100700E+02	-1.809100E+02	5.100700E+02	-1.809100E+02
31	7.943282E+02	5.301100E+02	-2.098100E+02	5.301100E+02	-2.098100E+02
32	6.309573E+02	5.539200E+02	-2.420800E+02	5.539200E+02	-2.420800E+02
33	5.011872E+02	5.817700E+02	-2.777400E+02	5.817700E+02	-2.777400E+02
34	3.981072E+02	6.141900E+02	-3.170900E+02	6.141900E+02	-3.170900E+02
35	3.162278E+02	6.511400E+02	-3.603000E+02	6.511400E+02	-3.603000E+02
36	2.511886E+02	6.920300E+02	-4.082000E+02	6.920300E+02	-4.082000E+02
37	1.995262E+02	7.401800E+02	-4.598500E+02	7.401800E+02	-4.598500E+02
38	1.584893E+02	7.941700E+02	-5.164800E+02	7.941700E+02	-5.164800E+02
39	1.258925E+02	8.540400E+02	-5.787200E+02	8.540400E+02	-5.787200E+02
40	1.000000E+02	9.206000E+02	-6.475900E+02	9.206000E+02	-6.475900E+02
41	7.943282E+01	9.940700E+02	-7.240700E+02	9.940700E+02	-7.240700E+02
42	6.309573E+01	1.075200E+03	-8.098200E+02	1.075200E+03	-8.098200E+02
43	5.011872E+01	1.165200E+03	-9.070300E+02	1.165200E+03	-9.070300E+02
44	4.000000E+01	1.263800E+03	-1.015100E+03	1.263800E+03	-1.015100E+03
