"ZView Export Data File: Version 3.3c"
"Export From File: C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-3deg.z"
"Date/Time:  12/6/2020 4:26:18 PM"
" "
" "
"C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-3deg.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Z'"	"Z''"
0	1.000000E+06	4.781000E+02	4.434100E+01	4.781000E+02	4.434100E+01
1	7.943282E+05	4.892800E+02	3.289200E+01	4.892800E+02	3.289200E+01
2	6.309573E+05	4.984900E+02	2.505500E+01	4.984900E+02	2.505500E+01
3	5.011872E+05	5.032400E+02	1.917400E+01	5.032400E+02	1.917400E+01
4	3.981072E+05	5.069800E+02	1.434800E+01	5.069800E+02	1.434800E+01
5	3.162278E+05	5.095900E+02	1.061500E+01	5.095900E+02	1.061500E+01
6	2.511886E+05	5.115200E+02	7.184800E+00	5.115200E+02	7.184800E+00
7	1.995262E+05	5.136200E+02	4.094400E+00	5.136200E+02	4.094400E+00
8	1.584893E+05	5.151000E+02	2.169500E+00	5.151000E+02	2.169500E+00
9	1.258925E+05	5.166200E+02	2.394200E-01	5.166200E+02	2.394200E-01
10	1.000000E+05	5.180700E+02	-1.335200E+00	5.180700E+02	-1.335200E+00
11	7.943282E+04	5.195100E+02	-2.923500E+00	5.195100E+02	-2.923500E+00
12	6.309573E+04	5.240400E+02	-5.555600E+00	5.240400E+02	-5.555600E+00
13	5.011872E+04	5.255500E+02	-7.489700E+00	5.255500E+02	-7.489700E+00
14	3.981072E+04	5.271000E+02	-9.848600E+00	5.271000E+02	-9.848600E+00
15	3.162278E+04	5.285900E+02	-1.261600E+01	5.285900E+02	-1.261600E+01
16	2.511886E+04	5.302600E+02	-1.561500E+01	5.302600E+02	-1.561500E+01
17	1.995262E+04	5.320400E+02	-1.926300E+01	5.320400E+02	-1.926300E+01
18	1.584893E+04	5.339700E+02	-2.355600E+01	5.339700E+02	-2.355600E+01
19	1.258925E+04	5.361800E+02	-2.881200E+01	5.361800E+02	-2.881200E+01
20	1.000000E+04	5.387500E+02	-3.511900E+01	5.387500E+02	-3.511900E+01
21	7.943282E+03	5.418000E+02	-4.281100E+01	5.418000E+02	-4.281100E+01
22	6.309573E+03	5.454000E+02	-5.214200E+01	5.454000E+02	-5.214200E+01
23	5.011872E+03	5.498200E+02	-6.326300E+01	5.498200E+02	-6.326300E+01
24	3.981072E+03	5.552100E+02	-7.661200E+01	5.552100E+02	-7.661200E+01
25	3.162278E+03	5.619600E+02	-9.257200E+01	5.619600E+02	-9.257200E+01
26	2.511886E+03	5.703500E+02	-1.114600E+02	5.703500E+02	-1.114600E+02
27	1.995262E+03	5.808400E+02	-1.337700E+02	5.808400E+02	-1.337700E+02
28	1.584893E+03	5.939700E+02	-1.596700E+02	5.939700E+02	-1.596700E+02
29	1.258925E+03	6.103600E+02	-1.897100E+02	6.103600E+02	-1.897100E+02
30	1.000000E+03	6.307300E+02	-2.241200E+02	6.307300E+02	-2.241200E+02
31	7.943282E+02	6.555600E+02	-2.632100E+02	6.555600E+02	-2.632100E+02
32	6.309573E+02	6.857200E+02	-3.069800E+02	6.857200E+02	-3.069800E+02
33	5.011872E+02	7.219600E+02	-3.558700E+02	7.219600E+02	-3.558700E+02
34	3.981072E+02	7.649200E+02	-4.098400E+02	7.649200E+02	-4.098400E+02
35	3.162278E+02	8.155700E+02	-4.689000E+02	8.155700E+02	-4.689000E+02
36	2.511886E+02	8.751100E+02	-5.354900E+02	8.751100E+02	-5.354900E+02
37	1.995262E+02	9.423700E+02	-6.053800E+02	9.423700E+02	-6.053800E+02
38	1.584893E+02	1.018300E+03	-6.812500E+02	1.018300E+03	-6.812500E+02
39	1.258925E+02	1.103200E+03	-7.635500E+02	1.103200E+03	-7.635500E+02
40	1.000000E+02	1.197500E+03	-8.532800E+02	1.197500E+03	-8.532800E+02
41	7.943282E+01	1.301200E+03	-9.519700E+02	1.301200E+03	-9.519700E+02
42	6.309573E+01	1.415600E+03	-1.061300E+03	1.415600E+03	-1.061300E+03
43	5.011872E+01	1.541300E+03	-1.184400E+03	1.541300E+03	-1.184400E+03
44	4.000000E+01	1.676000E+03	-1.319600E+03	1.676000E+03	-1.319600E+03
