"ZView Export Data File: Version 3.3c"
"Export From File: C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-U5deg.z"
"Date/Time:  12/6/2020 4:28:10 PM"
" "
" "
"C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-U5deg.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Z'"	"Z''"
0	1.000000E+06	5.222800E+02	4.274900E+01	5.222800E+02	4.274900E+01
1	7.943282E+05	5.341500E+02	3.097300E+01	5.341500E+02	3.097300E+01
2	6.309573E+05	5.412800E+02	2.345200E+01	5.412800E+02	2.345200E+01
3	5.011872E+05	5.460100E+02	1.765700E+01	5.460100E+02	1.765700E+01
4	3.981072E+05	5.488000E+02	1.311200E+01	5.488000E+02	1.311200E+01
5	3.162278E+05	5.506100E+02	9.442500E+00	5.506100E+02	9.442500E+00
6	2.511886E+05	5.514800E+02	6.297600E+00	5.514800E+02	6.297600E+00
7	1.995262E+05	5.524700E+02	3.342900E+00	5.524700E+02	3.342900E+00
8	1.584893E+05	5.530900E+02	1.348900E+00	5.530900E+02	1.348900E+00
9	1.258925E+05	5.533600E+02	-4.634700E-01	5.533600E+02	-4.634700E-01
10	1.000000E+05	5.535300E+02	-1.786900E+00	5.535300E+02	-1.786900E+00
11	7.943282E+04	5.538100E+02	-3.395900E+00	5.538100E+02	-3.395900E+00
12	6.309573E+04	5.527700E+02	-5.822400E+00	5.527700E+02	-5.822400E+00
13	5.011872E+04	5.530500E+02	-7.718200E+00	5.530500E+02	-7.718200E+00
14	3.981072E+04	5.533600E+02	-9.909000E+00	5.533600E+02	-9.909000E+00
15	3.162278E+04	5.537200E+02	-1.262200E+01	5.537200E+02	-1.262200E+01
16	2.511886E+04	5.542500E+02	-1.547000E+01	5.542500E+02	-1.547000E+01
17	1.995262E+04	5.549000E+02	-1.894400E+01	5.549000E+02	-1.894400E+01
18	1.584893E+04	5.557600E+02	-2.295200E+01	5.557600E+02	-2.295200E+01
19	1.258925E+04	5.568900E+02	-2.788500E+01	5.568900E+02	-2.788500E+01
20	1.000000E+04	5.583800E+02	-3.378100E+01	5.583800E+02	-3.378100E+01
21	7.943282E+03	5.602800E+02	-4.093600E+01	5.602800E+02	-4.093600E+01
22	6.309573E+03	5.627800E+02	-4.952700E+01	5.627800E+02	-4.952700E+01
23	5.011872E+03	5.660600E+02	-5.976400E+01	5.660600E+02	-5.976400E+01
24	3.981072E+03	5.703300E+02	-7.197600E+01	5.703300E+02	-7.197600E+01
25	3.162278E+03	5.758400E+02	-8.648300E+01	5.758400E+02	-8.648300E+01
26	2.511886E+03	5.828500E+02	-1.035500E+02	5.828500E+02	-1.035500E+02
27	1.995262E+03	5.918200E+02	-1.235400E+02	5.918200E+02	-1.235400E+02
28	1.584893E+03	6.030200E+02	-1.468000E+02	6.030200E+02	-1.468000E+02
29	1.258925E+03	6.170800E+02	-1.735100E+02	6.170800E+02	-1.735100E+02
30	1.000000E+03	6.343400E+02	-2.040800E+02	6.343400E+02	-2.040800E+02
31	7.943282E+02	6.552900E+02	-2.389000E+02	6.552900E+02	-2.389000E+02
32	6.309573E+02	6.806000E+02	-2.781800E+02	6.806000E+02	-2.781800E+02
33	5.011872E+02	7.107700E+02	-3.222300E+02	7.107700E+02	-3.222300E+02
34	3.981072E+02	7.465500E+02	-3.712200E+02	7.465500E+02	-3.712200E+02
35	3.162278E+02	7.883700E+02	-4.254100E+02	7.883700E+02	-4.254100E+02
36	2.511886E+02	8.347700E+02	-4.862200E+02	8.347700E+02	-4.862200E+02
37	1.995262E+02	8.907100E+02	-5.519900E+02	8.907100E+02	-5.519900E+02
38	1.584893E+02	9.546200E+02	-6.243800E+02	9.546200E+02	-6.243800E+02
39	1.258925E+02	1.026800E+03	-7.035900E+02	1.026800E+03	-7.035900E+02
40	1.000000E+02	1.108500E+03	-7.904100E+02	1.108500E+03	-7.904100E+02
41	7.943282E+01	1.199900E+03	-8.858600E+02	1.199900E+03	-8.858600E+02
42	6.309573E+01	1.301700E+03	-9.905900E+02	1.301700E+03	-9.905900E+02
43	5.011872E+01	1.414500E+03	-1.106600E+03	1.414500E+03	-1.106600E+03
44	4.000000E+01	1.536200E+03	-1.233900E+03	1.536200E+03	-1.233900E+03
