"ZView Export Data File: Version 3.3c"
"Export From File: C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-n11deg.z"
"Date/Time:  12/6/2020 4:27:05 PM"
" "
" "
"C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-n11deg.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Z'"	"Z''"
0	1.000000E+06	5.435200E+03	-9.896900E+03	5.435200E+03	-9.896900E+03
1	7.943282E+05	5.513700E+03	-1.398600E+04	5.513700E+03	-1.398600E+04
2	6.309573E+05	5.999500E+03	-1.969500E+04	5.999500E+03	-1.969500E+04
3	5.011872E+05	7.011800E+03	-2.618800E+04	7.011800E+03	-2.618800E+04
4	3.981072E+05	8.649000E+03	-3.361100E+04	8.649000E+03	-3.361100E+04
5	3.162278E+05	1.094900E+04	-4.229200E+04	1.094900E+04	-4.229200E+04
6	2.511886E+05	1.370600E+04	-5.220700E+04	1.370600E+04	-5.220700E+04
7	1.995262E+05	1.704700E+04	-6.379500E+04	1.704700E+04	-6.379500E+04
8	1.584893E+05	2.093100E+04	-7.751400E+04	2.093100E+04	-7.751400E+04
9	1.258925E+05	2.496100E+04	-9.363000E+04	2.496100E+04	-9.363000E+04
10	1.000000E+05	2.962100E+04	-1.140300E+05	2.962100E+04	-1.140300E+05
11	7.943282E+04	3.502500E+04	-1.387900E+05	3.502500E+04	-1.387900E+05
12	6.309573E+04	3.869900E+04	-1.717600E+05	3.869900E+04	-1.717600E+05
13	5.011872E+04	4.446600E+04	-2.107100E+05	4.446600E+04	-2.107100E+05
14	3.981072E+04	5.172200E+04	-2.599200E+05	5.172200E+04	-2.599200E+05
15	3.162278E+04	6.124900E+04	-3.215500E+05	6.124900E+04	-3.215500E+05
16	2.511886E+04	7.413700E+04	-3.965600E+05	7.413700E+04	-3.965600E+05
17	1.995262E+04	9.068900E+04	-4.908100E+05	9.068900E+04	-4.908100E+05
18	1.584893E+04	1.127600E+05	-6.060200E+05	1.127600E+05	-6.060200E+05
19	1.258925E+04	1.428000E+05	-7.486000E+05	1.428000E+05	-7.486000E+05
20	1.000000E+04	1.820500E+05	-9.242200E+05	1.820500E+05	-9.242200E+05
21	7.943282E+03	2.343800E+05	-1.136200E+06	2.343800E+05	-1.136200E+06
22	6.309573E+03	2.992300E+05	-1.396900E+06	2.992300E+05	-1.396900E+06
23	5.011872E+03	3.967600E+05	-1.720500E+06	3.967600E+05	-1.720500E+06
24	3.981072E+03	5.217400E+05	-2.106300E+06	5.217400E+05	-2.106300E+06
25	3.162278E+03	7.094800E+05	-2.573700E+06	7.094800E+05	-2.573700E+06
26	2.511886E+03	9.344200E+05	-3.150300E+06	9.344200E+05	-3.150300E+06
27	1.995262E+03	1.317000E+06	-3.788400E+06	1.317000E+06	-3.788400E+06
28	1.584893E+03	1.772600E+06	-4.553000E+06	1.772600E+06	-4.553000E+06
29	1.258925E+03	2.397000E+06	-5.454100E+06	2.397000E+06	-5.454100E+06
30	1.000000E+03	3.252700E+06	-6.336600E+06	3.252700E+06	-6.336600E+06
31	7.943282E+02	4.265700E+06	-7.341800E+06	4.265700E+06	-7.341800E+06
32	6.309573E+02	5.595300E+06	-8.384100E+06	5.595300E+06	-8.384100E+06
33	5.011872E+02	7.381100E+06	-9.028000E+06	7.381100E+06	-9.028000E+06
34	3.981072E+02	9.455000E+06	-1.010600E+07	9.455000E+06	-1.010600E+07
35	3.162278E+02	1.166700E+07	-1.026200E+07	1.166700E+07	-1.026200E+07
36	2.511886E+02	1.374900E+07	-1.042800E+07	1.374900E+07	-1.042800E+07
37	1.995262E+02	1.581700E+07	-1.007100E+07	1.581700E+07	-1.007100E+07
38	1.584893E+02	1.762300E+07	-9.108200E+06	1.762300E+07	-9.108200E+06
39	1.258925E+02	2.002000E+07	-7.855100E+06	2.002000E+07	-7.855100E+06
40	1.000000E+02	2.130200E+07	-6.885100E+06	2.130200E+07	-6.885100E+06
41	7.943282E+01	2.193100E+07	-5.968800E+06	2.193100E+07	-5.968800E+06
42	6.309573E+01	2.310500E+07	-5.371100E+06	2.310500E+07	-5.371100E+06
43	5.011872E+01	2.351800E+07	-3.811700E+06	2.351800E+07	-3.811700E+06
44	4.000000E+01	2.430300E+07	-3.237400E+06	2.430300E+07	-3.237400E+06
