"ZView Export Data File: Version 3.3c"
"Export From File: C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-Un5deg.z"
"Date/Time:  12/6/2020 4:27:33 PM"
" "
" "
"C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-Un5deg.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Z'"	"Z''"
0	1.000000E+06	5.503100E+03	-9.756100E+03	5.503100E+03	-9.756100E+03
1	7.943282E+05	5.685000E+03	-1.375800E+04	5.685000E+03	-1.375800E+04
2	6.309573E+05	6.393800E+03	-1.924600E+04	6.393800E+03	-1.924600E+04
3	5.011872E+05	7.779000E+03	-2.542400E+04	7.779000E+03	-2.542400E+04
4	3.981072E+05	9.803700E+03	-3.238900E+04	9.803700E+03	-3.238900E+04
5	3.162278E+05	1.252000E+04	-4.024200E+04	1.252000E+04	-4.024200E+04
6	2.511886E+05	1.585500E+04	-4.912100E+04	1.585500E+04	-4.912100E+04
7	1.995262E+05	1.991200E+04	-5.930500E+04	1.991200E+04	-5.930500E+04
8	1.584893E+05	2.461900E+04	-7.114000E+04	2.461900E+04	-7.114000E+04
9	1.258925E+05	3.014100E+04	-8.510300E+04	3.014100E+04	-8.510300E+04
10	1.000000E+05	3.679400E+04	-1.018600E+05	3.679400E+04	-1.018600E+05
11	7.943282E+04	4.493300E+04	-1.218800E+05	4.493300E+04	-1.218800E+05
12	6.309573E+04	5.571300E+04	-1.450000E+05	5.571300E+04	-1.450000E+05
13	5.011872E+04	6.867000E+04	-1.729100E+05	6.867000E+04	-1.729100E+05
14	3.981072E+04	8.581800E+04	-2.056300E+05	8.581800E+04	-2.056300E+05
15	3.162278E+04	1.078000E+05	-2.430300E+05	1.078000E+05	-2.430300E+05
16	2.511886E+04	1.357200E+05	-2.858800E+05	1.357200E+05	-2.858800E+05
17	1.995262E+04	1.713000E+05	-3.326100E+05	1.713000E+05	-3.326100E+05
18	1.584893E+04	2.164600E+05	-3.842200E+05	2.164600E+05	-3.842200E+05
19	1.258925E+04	2.723200E+05	-4.387400E+05	2.723200E+05	-4.387400E+05
20	1.000000E+04	3.395600E+05	-4.941500E+05	3.395600E+05	-4.941500E+05
21	7.943282E+03	4.234800E+05	-5.500600E+05	4.234800E+05	-5.500600E+05
22	6.309573E+03	5.221300E+05	-5.971800E+05	5.221300E+05	-5.971800E+05
23	5.011872E+03	6.364900E+05	-6.333700E+05	6.364900E+05	-6.333700E+05
24	3.981072E+03	7.655700E+05	-6.548300E+05	7.655700E+05	-6.548300E+05
25	3.162278E+03	8.975900E+05	-6.474600E+05	8.975900E+05	-6.474600E+05
26	2.511886E+03	1.022200E+06	-6.116000E+05	1.022200E+06	-6.116000E+05
27	1.995262E+03	1.130400E+06	-5.528600E+05	1.130400E+06	-5.528600E+05
28	1.584893E+03	1.214900E+06	-4.785400E+05	1.214900E+06	-4.785400E+05
29	1.258925E+03	1.270000E+06	-3.982800E+05	1.270000E+06	-3.982800E+05
30	1.000000E+03	1.301300E+06	-3.261300E+05	1.301300E+06	-3.261300E+05
31	7.943282E+02	1.315600E+06	-2.588100E+05	1.315600E+06	-2.588100E+05
32	6.309573E+02	1.315200E+06	-2.050200E+05	1.315200E+06	-2.050200E+05
33	5.011872E+02	1.303900E+06	-1.538000E+05	1.303900E+06	-1.538000E+05
34	3.981072E+02	1.290900E+06	-1.210400E+05	1.290900E+06	-1.210400E+05
35	3.162278E+02	1.272500E+06	-9.240500E+04	1.272500E+06	-9.240500E+04
36	2.511886E+02	1.212300E+06	-6.919400E+04	1.212300E+06	-6.919400E+04
37	1.995262E+02	1.195900E+06	-5.219500E+04	1.195900E+06	-5.219500E+04
38	1.584893E+02	1.177100E+06	-4.177800E+04	1.177100E+06	-4.177800E+04
39	1.258925E+02	1.160200E+06	-3.352300E+04	1.160200E+06	-3.352300E+04
40	1.000000E+02	1.144500E+06	-2.598500E+04	1.144500E+06	-2.598500E+04
41	7.943282E+01	1.127600E+06	-2.106200E+04	1.127600E+06	-2.106200E+04
42	6.309573E+01	1.112100E+06	-1.560300E+04	1.112100E+06	-1.560300E+04
43	5.011872E+01	1.097400E+06	-1.477600E+04	1.097400E+06	-1.477600E+04
44	4.000000E+01	1.080700E+06	-1.193100E+04	1.080700E+06	-1.193100E+04
