"ZView Export Data File: Version 3.3c"
"Export From File: C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-1deg.z"
"Date/Time:  12/6/2020 4:26:26 PM"
" "
" "
"C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-1deg.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Z'"	"Z''"
0	1.000000E+06	5.350300E+02	4.240700E+01	5.350300E+02	4.240700E+01
1	7.943282E+05	5.484800E+02	3.069700E+01	5.484800E+02	3.069700E+01
2	6.309573E+05	5.592300E+02	2.303500E+01	5.592300E+02	2.303500E+01
3	5.011872E+05	5.652100E+02	1.733100E+01	5.652100E+02	1.733100E+01
4	3.981072E+05	5.696300E+02	1.270900E+01	5.696300E+02	1.270900E+01
5	3.162278E+05	5.728900E+02	9.126900E+00	5.728900E+02	9.126900E+00
6	2.511886E+05	5.754700E+02	5.734200E+00	5.754700E+02	5.734200E+00
7	1.995262E+05	5.775400E+02	3.005600E+00	5.775400E+02	3.005600E+00
8	1.584893E+05	5.794300E+02	1.124100E+00	5.794300E+02	1.124100E+00
9	1.258925E+05	5.814300E+02	-9.678700E-01	5.814300E+02	-9.678700E-01
10	1.000000E+05	5.830600E+02	-2.405900E+00	5.830600E+02	-2.405900E+00
11	7.943282E+04	5.847700E+02	-3.792900E+00	5.847700E+02	-3.792900E+00
12	6.309573E+04	5.901400E+02	-6.426200E+00	5.901400E+02	-6.426200E+00
13	5.011872E+04	5.919600E+02	-8.427100E+00	5.919600E+02	-8.427100E+00
14	3.981072E+04	5.937700E+02	-1.074600E+01	5.937700E+02	-1.074600E+01
15	3.162278E+04	5.954900E+02	-1.362800E+01	5.954900E+02	-1.362800E+01
16	2.511886E+04	5.975800E+02	-1.671600E+01	5.975800E+02	-1.671600E+01
17	1.995262E+04	5.997100E+02	-2.042300E+01	5.997100E+02	-2.042300E+01
18	1.584893E+04	6.019300E+02	-2.488000E+01	6.019300E+02	-2.488000E+01
19	1.258925E+04	6.045000E+02	-3.033100E+01	6.045000E+02	-3.033100E+01
20	1.000000E+04	6.073900E+02	-3.683800E+01	6.073900E+02	-3.683800E+01
21	7.943282E+03	6.108000E+02	-4.483300E+01	6.108000E+02	-4.483300E+01
22	6.309573E+03	6.148300E+02	-5.457700E+01	6.148300E+02	-5.457700E+01
23	5.011872E+03	6.196200E+02	-6.617600E+01	6.196200E+02	-6.617600E+01
24	3.981072E+03	6.254800E+02	-8.012000E+01	6.254800E+02	-8.012000E+01
25	3.162278E+03	6.325600E+02	-9.686300E+01	6.325600E+02	-9.686300E+01
26	2.511886E+03	6.414800E+02	-1.167000E+02	6.414800E+02	-1.167000E+02
27	1.995262E+03	6.523600E+02	-1.402200E+02	6.523600E+02	-1.402200E+02
28	1.584893E+03	6.660400E+02	-1.677700E+02	6.660400E+02	-1.677700E+02
29	1.258925E+03	6.830500E+02	-1.998000E+02	6.830500E+02	-1.998000E+02
30	1.000000E+03	7.040400E+02	-2.367600E+02	7.040400E+02	-2.367600E+02
31	7.943282E+02	7.298400E+02	-2.789400E+02	7.298400E+02	-2.789400E+02
32	6.309573E+02	7.610600E+02	-3.268500E+02	7.610600E+02	-3.268500E+02
33	5.011872E+02	7.990100E+02	-3.803800E+02	7.990100E+02	-3.803800E+02
34	3.981072E+02	8.443700E+02	-4.399700E+02	8.443700E+02	-4.399700E+02
35	3.162278E+02	8.978500E+02	-5.054700E+02	8.978500E+02	-5.054700E+02
36	2.511886E+02	9.614300E+02	-5.795400E+02	9.614300E+02	-5.795400E+02
37	1.995262E+02	1.033900E+03	-6.577400E+02	1.033900E+03	-6.577400E+02
38	1.584893E+02	1.116500E+03	-7.424000E+02	1.116500E+03	-7.424000E+02
39	1.258925E+02	1.209600E+03	-8.341300E+02	1.209600E+03	-8.341300E+02
40	1.000000E+02	1.313800E+03	-9.335200E+02	1.313800E+03	-9.335200E+02
41	7.943282E+01	1.429000E+03	-1.041900E+03	1.429000E+03	-1.041900E+03
42	6.309573E+01	1.555900E+03	-1.161400E+03	1.555900E+03	-1.161400E+03
43	5.011872E+01	1.695300E+03	-1.293600E+03	1.695300E+03	-1.293600E+03
44	4.000000E+01	1.844600E+03	-1.438700E+03	1.844600E+03	-1.438700E+03
