"ZView Export Data File: Version 3.3c"
"Export From File: C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-U13.5deg.z"
"Date/Time:  12/6/2020 4:28:33 PM"
" "
" "
"C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-U13.5deg.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Z'"	"Z''"
0	1.000000E+06	3.395200E+02	4.758000E+01	3.395200E+02	4.758000E+01
1	7.943282E+05	3.453000E+02	3.686100E+01	3.453000E+02	3.686100E+01
2	6.309573E+05	3.490500E+02	2.882500E+01	3.490500E+02	2.882500E+01
3	5.011872E+05	3.510500E+02	2.251900E+01	3.510500E+02	2.251900E+01
4	3.981072E+05	3.525200E+02	1.740400E+01	3.525200E+02	1.740400E+01
5	3.162278E+05	3.534100E+02	1.327500E+01	3.534100E+02	1.327500E+01
6	2.511886E+05	3.541800E+02	9.616700E+00	3.541800E+02	9.616700E+00
7	1.995262E+05	3.546200E+02	6.534400E+00	3.546200E+02	6.534400E+00
8	1.584893E+05	3.548100E+02	4.307400E+00	3.548100E+02	4.307400E+00
9	1.258925E+05	3.551300E+02	2.163100E+00	3.551300E+02	2.163100E+00
10	1.000000E+05	3.554500E+02	3.585800E-01	3.554500E+02	3.585800E-01
11	7.943282E+04	3.557800E+02	-1.359700E+00	3.557800E+02	-1.359700E+00
12	6.309573E+04	3.559200E+02	-3.733200E+00	3.559200E+02	-3.733200E+00
13	5.011872E+04	3.563300E+02	-5.687200E+00	3.563300E+02	-5.687200E+00
14	3.981072E+04	3.568100E+02	-7.868800E+00	3.568100E+02	-7.868800E+00
15	3.162278E+04	3.573100E+02	-1.038000E+01	3.573100E+02	-1.038000E+01
16	2.511886E+04	3.580400E+02	-1.310300E+01	3.580400E+02	-1.310300E+01
17	1.995262E+04	3.588700E+02	-1.628600E+01	3.588700E+02	-1.628600E+01
18	1.584893E+04	3.599200E+02	-2.002600E+01	3.599200E+02	-2.002600E+01
19	1.258925E+04	3.612500E+02	-2.450000E+01	3.612500E+02	-2.450000E+01
20	1.000000E+04	3.629500E+02	-2.984300E+01	3.629500E+02	-2.984300E+01
21	7.943282E+03	3.651300E+02	-3.622000E+01	3.651300E+02	-3.622000E+01
22	6.309573E+03	3.679600E+02	-4.383200E+01	3.679600E+02	-4.383200E+01
23	5.011872E+03	3.715500E+02	-5.276300E+01	3.715500E+02	-5.276300E+01
24	3.981072E+03	3.761800E+02	-6.326900E+01	3.761800E+02	-6.326900E+01
25	3.162278E+03	3.820600E+02	-7.550800E+01	3.820600E+02	-7.550800E+01
26	2.511886E+03	3.894500E+02	-8.961300E+01	3.894500E+02	-8.961300E+01
27	1.995262E+03	3.986200E+02	-1.057500E+02	3.986200E+02	-1.057500E+02
28	1.584893E+03	4.098800E+02	-1.240300E+02	4.098800E+02	-1.240300E+02
29	1.258925E+03	4.235000E+02	-1.446200E+02	4.235000E+02	-1.446200E+02
30	1.000000E+03	4.397400E+02	-1.676700E+02	4.397400E+02	-1.676700E+02
31	7.943282E+02	4.590000E+02	-1.933500E+02	4.590000E+02	-1.933500E+02
32	6.309573E+02	4.815700E+02	-2.216800E+02	4.815700E+02	-2.216800E+02
33	5.011872E+02	5.076800E+02	-2.527700E+02	5.076800E+02	-2.527700E+02
34	3.981072E+02	5.377100E+02	-2.867700E+02	5.377100E+02	-2.867700E+02
35	3.162278E+02	5.716300E+02	-3.237900E+02	5.716300E+02	-3.237900E+02
36	2.511886E+02	6.090700E+02	-3.645000E+02	6.090700E+02	-3.645000E+02
37	1.995262E+02	6.518000E+02	-4.089300E+02	6.518000E+02	-4.089300E+02
38	1.584893E+02	6.992500E+02	-4.577300E+02	6.992500E+02	-4.577300E+02
39	1.258925E+02	7.515400E+02	-5.117500E+02	7.515400E+02	-5.117500E+02
40	1.000000E+02	8.092000E+02	-5.721800E+02	8.092000E+02	-5.721800E+02
41	7.943282E+01	8.727500E+02	-6.401600E+02	8.727500E+02	-6.401600E+02
42	6.309573E+01	9.433800E+02	-7.178800E+02	9.433800E+02	-7.178800E+02
43	5.011872E+01	1.022700E+03	-8.063500E+02	1.022700E+03	-8.063500E+02
44	4.000000E+01	1.110700E+03	-9.046500E+02	1.110700E+03	-9.046500E+02
