"ZView Export Data File: Version 3.3c"
"Export From File: C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-U8deg.z"
"Date/Time:  12/6/2020 4:28:18 PM"
" "
" "
"C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-U8deg.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Z'"	"Z''"
0	1.000000E+06	4.447400E+02	4.549600E+01	4.447400E+02	4.549600E+01
1	7.943282E+05	4.539400E+02	3.400300E+01	4.539400E+02	3.400300E+01
2	6.309573E+05	4.597700E+02	2.615600E+01	4.597700E+02	2.615600E+01
3	5.011872E+05	4.630400E+02	2.013800E+01	4.630400E+02	2.013800E+01
4	3.981072E+05	4.654900E+02	1.516200E+01	4.654900E+02	1.516200E+01
5	3.162278E+05	4.667100E+02	1.140000E+01	4.667100E+02	1.140000E+01
6	2.511886E+05	4.678200E+02	7.816700E+00	4.678200E+02	7.816700E+00
7	1.995262E+05	4.684300E+02	4.874400E+00	4.684300E+02	4.874400E+00
8	1.584893E+05	4.687900E+02	2.845100E+00	4.687900E+02	2.845100E+00
9	1.258925E+05	4.692600E+02	7.871900E-01	4.692600E+02	7.871900E-01
10	1.000000E+05	4.695800E+02	-8.246200E-01	4.695800E+02	-8.246200E-01
11	7.943282E+04	4.698200E+02	-2.484900E+00	4.698200E+02	-2.484900E+00
12	6.309573E+04	4.693200E+02	-4.873300E+00	4.693200E+02	-4.873300E+00
13	5.011872E+04	4.696800E+02	-6.787600E+00	4.696800E+02	-6.787600E+00
14	3.981072E+04	4.701100E+02	-9.016500E+00	4.701100E+02	-9.016500E+00
15	3.162278E+04	4.705200E+02	-1.164500E+01	4.705200E+02	-1.164500E+01
16	2.511886E+04	4.711700E+02	-1.443700E+01	4.711700E+02	-1.443700E+01
17	1.995262E+04	4.719000E+02	-1.774100E+01	4.719000E+02	-1.774100E+01
18	1.584893E+04	4.728400E+02	-2.170900E+01	4.728400E+02	-2.170900E+01
19	1.258925E+04	4.740500E+02	-2.643800E+01	4.740500E+02	-2.643800E+01
20	1.000000E+04	4.756100E+02	-3.209000E+01	4.756100E+02	-3.209000E+01
21	7.943282E+03	4.776800E+02	-3.891700E+01	4.776800E+02	-3.891700E+01
22	6.309573E+03	4.803200E+02	-4.713300E+01	4.803200E+02	-4.713300E+01
23	5.011872E+03	4.837200E+02	-5.688200E+01	4.837200E+02	-5.688200E+01
24	3.981072E+03	4.881700E+02	-6.839800E+01	4.881700E+02	-6.839800E+01
25	3.162278E+03	4.938100E+02	-8.200300E+01	4.938100E+02	-8.200300E+01
26	2.511886E+03	5.010100E+02	-9.789100E+01	5.010100E+02	-9.789100E+01
27	1.995262E+03	5.101100E+02	-1.163500E+02	5.101100E+02	-1.163500E+02
28	1.584893E+03	5.214300E+02	-1.376000E+02	5.214300E+02	-1.376000E+02
29	1.258925E+03	5.353800E+02	-1.618400E+02	5.353800E+02	-1.618400E+02
30	1.000000E+03	5.523400E+02	-1.894000E+02	5.523400E+02	-1.894000E+02
31	7.943282E+02	5.727900E+02	-2.204300E+02	5.727900E+02	-2.204300E+02
32	6.309573E+02	5.971500E+02	-2.552400E+02	5.971500E+02	-2.552400E+02
33	5.011872E+02	6.259100E+02	-2.938900E+02	6.259100E+02	-2.938900E+02
34	3.981072E+02	6.595400E+02	-3.367000E+02	6.595400E+02	-3.367000E+02
35	3.162278E+02	6.984900E+02	-3.839000E+02	6.984900E+02	-3.839000E+02
36	2.511886E+02	7.412700E+02	-4.361200E+02	7.412700E+02	-4.361200E+02
37	1.995262E+02	7.923500E+02	-4.926200E+02	7.923500E+02	-4.926200E+02
38	1.584893E+02	8.499300E+02	-5.544300E+02	8.499300E+02	-5.544300E+02
39	1.258925E+02	9.144400E+02	-6.223300E+02	9.144400E+02	-6.223300E+02
40	1.000000E+02	9.864900E+02	-6.969100E+02	9.864900E+02	-6.969100E+02
41	7.943282E+01	1.066400E+03	-7.795800E+02	1.066400E+03	-7.795800E+02
42	6.309573E+01	1.154600E+03	-8.707700E+02	1.154600E+03	-8.707700E+02
43	5.011872E+01	1.252000E+03	-9.742300E+02	1.252000E+03	-9.742300E+02
44	4.000000E+01	1.358000E+03	-1.088000E+03	1.358000E+03	-1.088000E+03
