"ZView Export Data File: Version 3.3c"
"Export From File: C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-n13deg.z"
"Date/Time:  12/6/2020 4:27:16 PM"
" "
" "
"C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-n13deg.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Z'"	"Z''"
0	1.000000E+06	5.407300E+03	-1.019900E+04	5.407300E+03	-1.019900E+04
1	7.943282E+05	5.351800E+03	-1.441300E+04	5.351800E+03	-1.441300E+04
2	6.309573E+05	5.637700E+03	-2.036700E+04	5.637700E+03	-2.036700E+04
3	5.011872E+05	6.445800E+03	-2.723100E+04	6.445800E+03	-2.723100E+04
4	3.981072E+05	7.755700E+03	-3.525000E+04	7.755700E+03	-3.525000E+04
5	3.162278E+05	9.620300E+03	-4.462200E+04	9.620300E+03	-4.462200E+04
6	2.511886E+05	1.205700E+04	-5.564600E+04	1.205700E+04	-5.564600E+04
7	1.995262E+05	1.508300E+04	-6.862700E+04	1.508300E+04	-6.862700E+04
8	1.584893E+05	1.871100E+04	-8.396000E+04	1.871100E+04	-8.396000E+04
9	1.258925E+05	2.264500E+04	-1.023400E+05	2.264500E+04	-1.023400E+05
10	1.000000E+05	2.702100E+04	-1.246900E+05	2.702100E+04	-1.246900E+05
11	7.943282E+04	3.166500E+04	-1.522500E+05	3.166500E+04	-1.522500E+05
12	6.309573E+04	3.528800E+04	-1.885200E+05	3.528800E+04	-1.885200E+05
13	5.011872E+04	3.961500E+04	-2.319600E+05	3.961500E+04	-2.319600E+05
14	3.981072E+04	4.476600E+04	-2.866700E+05	4.476600E+04	-2.866700E+05
15	3.162278E+04	5.109600E+04	-3.546000E+05	5.109600E+04	-3.546000E+05
16	2.511886E+04	5.977400E+04	-4.407100E+05	5.977400E+04	-4.407100E+05
17	1.995262E+04	6.947100E+04	-5.474200E+05	6.947100E+04	-5.474200E+05
18	1.584893E+04	8.476800E+04	-6.804100E+05	8.476800E+04	-6.804100E+05
19	1.258925E+04	9.773100E+04	-8.449300E+05	9.773100E+04	-8.449300E+05
20	1.000000E+04	1.201000E+05	-1.050000E+06	1.201000E+05	-1.050000E+06
21	7.943282E+03	1.530500E+05	-1.309200E+06	1.530500E+05	-1.309200E+06
22	6.309573E+03	1.904200E+05	-1.631300E+06	1.904200E+05	-1.631300E+06
23	5.011872E+03	2.326600E+05	-2.045000E+06	2.326600E+05	-2.045000E+06
24	3.981072E+03	3.199100E+05	-2.553400E+06	3.199100E+05	-2.553400E+06
25	3.162278E+03	4.334600E+05	-3.171500E+06	4.334600E+05	-3.171500E+06
26	2.511886E+03	6.413600E+05	-3.976800E+06	6.413600E+05	-3.976800E+06
27	1.995262E+03	9.493700E+05	-4.966700E+06	9.493700E+05	-4.966700E+06
28	1.584893E+03	1.429700E+06	-6.107000E+06	1.429700E+06	-6.107000E+06
29	1.258925E+03	2.065900E+06	-7.471700E+06	2.065900E+06	-7.471700E+06
30	1.000000E+03	3.187600E+06	-8.956900E+06	3.187600E+06	-8.956900E+06
31	7.943282E+02	4.271100E+06	-1.042800E+07	4.271100E+06	-1.042800E+07
32	6.309573E+02	6.003600E+06	-1.224900E+07	6.003600E+06	-1.224900E+07
33	5.011872E+02	7.937100E+06	-1.389700E+07	7.937100E+06	-1.389700E+07
34	3.981072E+02	1.071400E+07	-1.547100E+07	1.071400E+07	-1.547100E+07
35	3.162278E+02	1.291900E+07	-1.635000E+07	1.291900E+07	-1.635000E+07
36	2.511886E+02	1.729000E+07	-1.702300E+07	1.729000E+07	-1.702300E+07
37	1.995262E+02	2.052300E+07	-1.714400E+07	2.052300E+07	-1.714400E+07
38	1.584893E+02	2.348100E+07	-1.681100E+07	2.348100E+07	-1.681100E+07
39	1.258925E+02	2.699800E+07	-1.550000E+07	2.699800E+07	-1.550000E+07
40	1.000000E+02	2.994500E+07	-1.407300E+07	2.994500E+07	-1.407300E+07
41	7.943282E+01	3.215300E+07	-1.199200E+07	3.215300E+07	-1.199200E+07
42	6.309573E+01	3.353300E+07	-9.204200E+06	3.353300E+07	-9.204200E+06
43	5.011872E+01	3.337700E+07	-9.145900E+06	3.337700E+07	-9.145900E+06
44	4.000000E+01	3.504300E+07	-6.602300E+06	3.504300E+07	-6.602300E+06
