"ZView Export Data File: Version 3.3c"
"Export From File: C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-8deg.z"
"Date/Time:  12/6/2020 4:26:05 PM"
" "
" "
"C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-8deg.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Z'"	"Z''"
0	1.000000E+06	3.719300E+02	4.657400E+01	3.719300E+02	4.657400E+01
1	7.943282E+05	3.791200E+02	3.588900E+01	3.791200E+02	3.588900E+01
2	6.309573E+05	3.843000E+02	2.807500E+01	3.843000E+02	2.807500E+01
3	5.011872E+05	3.871800E+02	2.183300E+01	3.871800E+02	2.183300E+01
4	3.981072E+05	3.893000E+02	1.682600E+01	3.893000E+02	1.682600E+01
5	3.162278E+05	3.909200E+02	1.278000E+01	3.909200E+02	1.278000E+01
6	2.511886E+05	3.919600E+02	9.319100E+00	3.919600E+02	9.319100E+00
7	1.995262E+05	3.930300E+02	6.251500E+00	3.930300E+02	6.251500E+00
8	1.584893E+05	3.939400E+02	3.959400E+00	3.939400E+02	3.959400E+00
9	1.258925E+05	3.947900E+02	1.921700E+00	3.947900E+02	1.921700E+00
10	1.000000E+05	3.956800E+02	1.548400E-01	3.956800E+02	1.548400E-01
11	7.943282E+04	3.965100E+02	-1.501600E+00	3.965100E+02	-1.501600E+00
12	6.309573E+04	3.988500E+02	-3.825400E+00	3.988500E+02	-3.825400E+00
13	5.011872E+04	3.996900E+02	-5.739000E+00	3.996900E+02	-5.739000E+00
14	3.981072E+04	4.006200E+02	-7.982100E+00	4.006200E+02	-7.982100E+00
15	3.162278E+04	4.015300E+02	-1.054900E+01	4.015300E+02	-1.054900E+01
16	2.511886E+04	4.026400E+02	-1.335000E+01	4.026400E+02	-1.335000E+01
17	1.995262E+04	4.039000E+02	-1.671600E+01	4.039000E+02	-1.671600E+01
18	1.584893E+04	4.053000E+02	-2.067100E+01	4.053000E+02	-2.067100E+01
19	1.258925E+04	4.070000E+02	-2.544400E+01	4.070000E+02	-2.544400E+01
20	1.000000E+04	4.090700E+02	-3.118500E+01	4.090700E+02	-3.118500E+01
21	7.943282E+03	4.116100E+02	-3.813200E+01	4.116100E+02	-3.813200E+01
22	6.309573E+03	4.147300E+02	-4.653700E+01	4.147300E+02	-4.653700E+01
23	5.011872E+03	4.187000E+02	-5.652400E+01	4.187000E+02	-5.652400E+01
24	3.981072E+03	4.236300E+02	-6.843600E+01	4.236300E+02	-6.843600E+01
25	3.162278E+03	4.299400E+02	-8.253900E+01	4.299400E+02	-8.253900E+01
26	2.511886E+03	4.378300E+02	-9.910000E+01	4.378300E+02	-9.910000E+01
27	1.995262E+03	4.477300E+02	-1.184000E+02	4.477300E+02	-1.184000E+02
28	1.584893E+03	4.602400E+02	-1.405800E+02	4.602400E+02	-1.405800E+02
29	1.258925E+03	4.756500E+02	-1.660000E+02	4.756500E+02	-1.660000E+02
30	1.000000E+03	4.944300E+02	-1.946600E+02	4.944300E+02	-1.946600E+02
31	7.943282E+02	5.171200E+02	-2.267200E+02	5.171200E+02	-2.267200E+02
32	6.309573E+02	5.441000E+02	-2.624500E+02	5.441000E+02	-2.624500E+02
33	5.011872E+02	5.761100E+02	-3.015400E+02	5.761100E+02	-3.015400E+02
34	3.981072E+02	6.133300E+02	-3.442200E+02	6.133300E+02	-3.442200E+02
35	3.162278E+02	6.558200E+02	-3.907700E+02	6.558200E+02	-3.907700E+02
36	2.511886E+02	7.049900E+02	-4.431800E+02	7.049900E+02	-4.431800E+02
37	1.995262E+02	7.593500E+02	-4.982500E+02	7.593500E+02	-4.982500E+02
38	1.584893E+02	8.200600E+02	-5.586200E+02	8.200600E+02	-5.586200E+02
39	1.258925E+02	8.869100E+02	-6.249900E+02	8.869100E+02	-6.249900E+02
40	1.000000E+02	9.606300E+02	-6.990400E+02	9.606300E+02	-6.990400E+02
41	7.943282E+01	1.041900E+03	-7.821600E+02	1.041900E+03	-7.821600E+02
42	6.309573E+01	1.131800E+03	-8.766500E+02	1.131800E+03	-8.766500E+02
43	5.011872E+01	1.231800E+03	-9.845200E+02	1.231800E+03	-9.845200E+02
44	4.000000E+01	1.341700E+03	-1.106400E+03	1.341700E+03	-1.106400E+03
