Timestamp                   	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
2:01:19.494 PM 12/12/2023 	 20190.345158 	 20191.271777 	 294.023691 	 294.504406 	 293.988363 	 294.756307 	 -65438.164038 	 294.969428
2:01:29.994 PM 12/12/2023 	 20190.569262 	 20191.835591 	 294.023538 	 294.511148 	 293.994981 	 294.840251 	 -65439.871824 	 295.058990
2:01:40.494 PM 12/12/2023 	 20192.155140 	 20192.736702 	 294.026448 	 294.526625 	 294.007221 	 294.774662 	 -65441.796190 	 295.010872
2:01:50.993 PM 12/12/2023 	 20192.296254 	 20193.660782 	 294.027980 	 294.528157 	 294.007355 	 294.650750 	 -65443.421363 	 294.880893
2:02:00.994 PM 12/12/2023 	 20193.685123 	 20194.135765 	 294.030431 	 294.530762 	 294.008849 	 294.743746 	 -65445.146652 	 294.966773
2:02:11.494 PM 12/12/2023 	 20193.528356 	 20193.550245 	 294.031656 	 294.539650 	 294.006818 	 294.807742 	 -65446.933264 	 295.001043
2:02:21.994 PM 12/12/2023 	 20194.471686 	 20194.089976 	 294.033953 	 294.539496 	 294.027197 	 294.794605 	 -65448.770130 	 294.999696
2:02:32.494 PM 12/12/2023 	 20194.482335 	 20196.031965 	 294.033034 	 294.545472 	 294.010871 	 294.777834 	 -65450.640625 	 295.025826
2:02:42.494 PM 12/12/2023 	 20194.909913 	 20196.446823 	 294.034566 	 294.550069 	 294.023348 	 294.854893 	 -65452.394865 	 295.108029
2:02:52.994 PM 12/12/2023 	 20195.989992 	 20196.301038 	 294.034566 	 294.558497 	 294.006011 	 294.828156 	 -65454.249351 	 295.083191
2:03:03.494 PM 12/12/2023 	 20195.922301 	 20196.711464 	 294.037323 	 294.572288 	 294.008537 	 294.862741 	 -65456.109719 	 295.050835
2:03:13.994 PM 12/12/2023 	 20196.743104 	 20197.596187 	 294.038701 	 294.581482 	 294.004094 	 294.756449 	 -65458.225945 	 294.987954
2:03:23.994 PM 12/12/2023 	 20196.433536 	 20197.993471 	 294.040846 	 294.583781 	 294.005170 	 294.788177 	 -65459.964792 	 295.007883
2:03:34.494 PM 12/12/2023 	 20197.153347 	 20198.804549 	 294.042071 	 294.585466 	 293.984128 	 294.810084 	 -65462.065128 	 295.021767
2:03:44.994 PM 12/12/2023 	 20198.262257 	 20199.335721 	 294.040999 	 294.588378 	 294.026476 	 294.846699 	 -65463.960238 	 295.082402
2:03:55.494 PM 12/12/2023 	 20199.959828 	 20200.321181 	 294.040846 	 294.597572 	 293.999216 	 294.845892 	 -65465.927961 	 295.050961
2:04:05.994 PM 12/12/2023 	 20199.559478 	 20200.183947 	 294.040846 	 294.599717 	 294.006657 	 294.816541 	 -65467.834893 	 295.053201
2:04:15.994 PM 12/12/2023 	 20200.356959 	 20201.706594 	 294.041152 	 294.601250 	 294.007084 	 294.836772 	 -65469.758858 	 295.094158
2:04:26.494 PM 12/12/2023 	 20200.650323 	 20202.670892 	 294.042224 	 294.606000 	 294.017074 	 294.865605 	 -65471.710988 	 295.091402
2:04:36.994 PM 12/12/2023 	 20201.651530 	 20202.425978 	 294.041458 	 294.607226 	 294.000406 	 294.798040 	 -65473.613416 	 295.033296
2:04:47.494 PM 12/12/2023 	 20200.592315 	 20202.696138 	 294.041305 	 294.604774 	 294.015814 	 294.919981 	 -65475.505063 	 295.153762
2:04:57.994 PM 12/12/2023 	 20201.875695 	 20203.735739 	 294.042837 	 294.609984 	 294.004159 	 294.793770 	 -65477.363663 	 295.053537
2:05:07.994 PM 12/12/2023 	 20202.911503 	 20204.708854 	 294.041765 	 294.614122 	 293.995743 	 294.900421 	 -65479.205895 	 295.124787
2:05:18.494 PM 12/12/2023 	 20204.030861 	 20203.871453 	 294.041305 	 294.613968 	 294.003445 	 294.843042 	 -65480.948246 	 295.061308
2:05:28.994 PM 12/12/2023 	 20204.582646 	 20204.958403 	 294.041458 	 294.614581 	 294.001198 	 294.826181 	 -65483.024975 	 295.068492
2:05:39.494 PM 12/12/2023 	 20204.313140 	 20206.748643 	 294.040386 	 294.611823 	 294.007452 	 294.776779 	 -65484.873779 	 295.004975
2:05:49.994 PM 12/12/2023 	 20205.655006 	 20207.072788 	 294.040692 	 294.618106 	 294.016079 	 294.792938 	 -65486.611510 	 295.037622
2:05:59.994 PM 12/12/2023 	 20205.838585 	 20207.207290 	 294.040846 	 294.620404 	 294.003788 	 294.892891 	 -65488.544518 	 295.144593
2:06:10.494 PM 12/12/2023 	 20206.198076 	 20206.927553 	 294.041152 	 294.621170 	 294.010908 	 294.869351 	 -65490.260574 	 295.110697
2:06:20.994 PM 12/12/2023 	 20207.122374 	 20208.082218 	 294.041305 	 294.622090 	 293.980413 	 294.913409 	 -65492.132957 	 295.133998
2:06:30.994 PM 12/12/2023 	 20207.078753 	 20209.008176 	 294.039467 	 294.621324 	 293.991421 	 294.944666 	 -65493.988956 	 295.177963
2:06:41.494 PM 12/12/2023 	 20206.531034 	 20210.446316 	 294.040539 	 294.621170 	 293.996992 	 294.875264 	 -65495.901037 	 295.081733
2:06:51.994 PM 12/12/2023 	 20208.790784 	 20208.393352 	 294.042837 	 294.625461 	 294.016044 	 294.985267 	 -65497.874808 	 295.211477
2:07:02.494 PM 12/12/2023 	 20209.251700 	 20209.743851 	 294.044675 	 294.632050 	 294.009091 	 294.960415 	 -65499.614713 	 295.204070
2:07:12.994 PM 12/12/2023 	 20209.954613 	 20211.179639 	 294.045134 	 294.642011 	 293.996670 	 294.983374 	 -65501.516674 	 295.430506
2:07:22.994 PM 12/12/2023 	 20210.201520 	 20211.896733 	 294.044828 	 294.647680 	 294.004997 	 295.021850 	 -65503.296244 	 295.268300
2:07:33.494 PM 12/12/2023 	 20210.561358 	 20213.040189 	 294.047891 	 294.651511 	 294.000181 	 295.030715 	 -65505.210040 	 295.197539
2:07:43.994 PM 12/12/2023 	 20211.643127 	 20212.633565 	 294.050035 	 294.652737 	 293.976509 	 295.076850 	 -65507.246974 	 295.228111
2:07:54.494 PM 12/12/2023 	 20211.874049 	 20213.244641 	 294.050954 	 294.653197 	 293.994903 	 294.933999 	 -65509.289891 	 295.070224
2:08:04.994 PM 12/12/2023 	 20212.246517 	 20212.856940 	 294.051567 	 294.653657 	 294.008756 	 295.002976 	 -65511.148960 	 295.099125
2:08:15.494 PM 12/12/2023 	 20213.691867 	 20214.381045 	 294.053558 	 294.659939 	 294.011115 	 294.893604 	 -65513.198231 	 295.016172
2:08:25.994 PM 12/12/2023 	 20213.697895 	 20214.875336 	 294.056009 	 294.668214 	 294.004347 	 295.073519 	 -65515.097099 	 295.193213
2:08:36.494 PM 12/12/2023 	 20213.798364 	 20215.517792 	 294.054324 	 294.671586 	 294.008839 	 294.953092 	 -65517.091285 	 295.108634
2:08:46.495 PM 12/12/2023 	 20214.852513 	 20216.304046 	 294.056009 	 294.678481 	 293.999165 	 294.937780 	 -65518.745019 	 295.111707
2:08:56.994 PM 12/12/2023 	 20215.716877 	 20216.365941 	 294.057387 	 294.686143 	 294.003970 	 294.960018 	 -65520.700788 	 295.133936
2:09:06.995 PM 12/12/2023 	 20215.613606 	 20217.289957 	 294.058766 	 294.692733 	 294.004412 	 294.969887 	 -65522.288027 	 295.126366
2:09:17.494 PM 12/12/2023 	 20217.045677 	 20218.879613 	 294.060604 	 294.693805 	 293.995373 	 294.979251 	 -65524.322731 	 295.133842
2:09:27.994 PM 12/12/2023 	 20217.383814 	 20217.748581 	 294.061063 	 294.693346 	 293.996196 	 295.026267 	 -65525.888160 	 295.173774
2:09:37.995 PM 12/12/2023 	 20218.744467 	 20219.425508 	 294.063054 	 294.691353 	 293.985713 	 294.998366 	 -65527.688697 	 295.227868
2:09:47.995 PM 12/12/2023 	 20218.528495 	 20219.037433 	 294.063667 	 294.699169 	 294.002994 	 295.127778 	 -65529.349718 	 295.260179
2:09:58.495 PM 12/12/2023 	 20219.759592 	 20220.270559 	 294.065045 	 294.711581 	 294.000969 	 295.047997 	 -65531.139669 	 295.218584
2:10:08.994 PM 12/12/2023 	 20219.348167 	 20221.273353 	 294.068109 	 294.721235 	 293.993431 	 295.113055 	 -65533.080997 	 295.258179
2:10:18.995 PM 12/12/2023 	 20220.154122 	 20221.209056 	 294.073316 	 294.737019 	 293.983114 	 294.991059 	 -65534.921959 	 295.131980
2:10:29.495 PM 12/12/2023 	 20219.973514 	 20220.378989 	 294.074695 	 294.742230 	 294.001684 	 295.027500 	 -65536.780040 	 295.227307
2:10:39.495 PM 12/12/2023 	 20221.023602 	 20222.247222 	 294.073929 	 294.755408 	 294.007307 	 294.975604 	 -65538.705634 	 295.103806
2:10:49.994 PM 12/12/2023 	 20221.475490 	 20222.489622 	 294.075920 	 294.759086 	 293.988506 	 295.024250 	 -65540.665182 	 295.140658
2:10:59.995 PM 12/12/2023 	 20222.266952 	 20222.847393 	 294.077298 	 294.769047 	 293.999723 	 294.895907 	 -65542.345090 	 295.072676
2:11:10.495 PM 12/12/2023 	 20223.177414 	 20224.523471 	 294.078983 	 294.775943 	 293.988561 	 295.025718 	 -65544.210108 	 295.140241
2:11:20.995 PM 12/12/2023 	 20223.416386 	 20224.702905 	 294.081434 	 294.775943 	 294.007237 	 295.006646 	 -65545.980227 	 295.068390
2:11:31.494 PM 12/12/2023 	 20223.482286 	 20225.591407 	 294.082506 	 294.773951 	 293.999787 	 294.928501 	 -65547.829093 	 295.098189
2:11:41.995 PM 12/12/2023 	 20224.162469 	 20225.920863 	 294.082965 	 294.768894 	 293.993925 	 295.020230 	 -65549.605437 	 295.137581
2:11:52.495 PM 12/12/2023 	 20225.768250 	 20226.877521 	 294.083272 	 294.773798 	 293.994971 	 295.038242 	 -65551.225146 	 295.198467
2:12:02.994 PM 12/12/2023 	 20225.848213 	 20226.715204 	 294.083731 	 294.776096 	 294.007782 	 295.117947 	 -65552.833898 	 295.219255
2:12:13.495 PM 12/12/2023 	 20226.121606 	 20227.131364 	 294.084650 	 294.774564 	 293.990563 	 295.106423 	 -65554.605498 	 295.179464
2:12:23.994 PM 12/12/2023 	 20226.974073 	 20227.127788 	 294.086335 	 294.773951 	 294.020729 	 294.957415 	 -65556.298893 	 295.099760
2:12:33.995 PM 12/12/2023 	 20227.285831 	 20228.512158 	 294.086335 	 294.776862 	 294.006269 	 294.978811 	 -65557.824308 	 295.074494
2:12:43.995 PM 12/12/2023 	 20227.186090 	 20228.688868 	 294.088786 	 294.793719 	 294.003432 	 294.970795 	 -65559.305074 	 295.086745
2:12:54.494 PM 12/12/2023 	 20227.677477 	 20229.547712 	 294.090624 	 294.804140 	 294.016758 	 295.117477 	 -65561.038514 	 295.255533
2:13:04.495 PM 12/12/2023 	 20228.201033 	 20230.137524 	 294.091696 	 294.817013 	 294.010959 	 295.047595 	 -65562.716133 	 295.201221
2:13:14.995 PM 12/12/2023 	 20229.635242 	 20230.245298 	 294.094146 	 294.831877 	 294.025774 	 295.101023 	 -65564.466983 	 295.268294
2:13:24.995 PM 12/12/2023 	 20229.110845 	 20230.068873 	 294.093840 	 294.840306 	 293.999315 	 295.160864 	 -65566.060965 	 295.265932
2:13:35.495 PM 12/12/2023 	 20230.746630 	 20231.690299 	 294.094912 	 294.842452 	 294.003508 	 295.072210 	 -65567.756244 	 295.270585
2:13:45.495 PM 12/12/2023 	 20230.736212 	 20231.849873 	 294.095219 	 294.847049 	 294.005044 	 295.009643 	 -65569.266513 	 295.171291
2:13:55.995 PM 12/12/2023 	 20231.191598 	 20232.017025 	 294.095065 	 294.864059 	 294.003121 	 295.086435 	 -65570.967936 	 295.217433
2:14:05.995 PM 12/12/2023 	 20231.119319 	 20233.058961 	 294.095372 	 294.881530 	 294.002693 	 294.991270 	 -65572.574158 	 295.226900
2:14:16.495 PM 12/12/2023 	 20231.995589 	 20233.350804 	 294.095678 	 294.889345 	 294.007182 	 295.105567 	 -65574.113222 	 295.275191
2:14:26.995 PM 12/12/2023 	 20232.898573 	 20233.564297 	 294.097669 	 294.888426 	 294.005735 	 295.054637 	 -65575.815447 	 295.196011
2:14:37.494 PM 12/12/2023 	 20233.198149 	 20234.449279 	 294.096138 	 294.881989 	 294.011141 	 295.027510 	 -65577.461761 	 295.186796
2:14:47.494 PM 12/12/2023 	 20233.909826 	 20234.503840 	 294.098435 	 294.887966 	 293.998611 	 295.051771 	 -65578.883534 	 295.183250
2:14:57.994 PM 12/12/2023 	 20233.499624 	 20235.184052 	 294.099354 	 294.890265 	 293.991504 	 295.057406 	 -65580.474131 	 295.220922
2:15:07.995 PM 12/12/2023 	 20234.659683 	 20236.055251 	 294.101039 	 294.890571 	 294.014945 	 295.115668 	 -65581.913186 	 295.274454
2:15:17.995 PM 12/12/2023 	 20234.942611 	 20235.664699 	 294.100579 	 294.887506 	 294.005392 	 295.110378 	 -65583.369311 	 295.259272
