Timestamp                   	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
4:38:51.325 PM 7/20/2023 	 1.957178 	 2.243077 	 296.738844 	 295.587164 	 296.455743 	 296.589180 	 296.539850 	 296.713186
4:39:01.824 PM 7/20/2023 	 0.329638 	 1.380440 	 296.742523 	 295.589464 	 296.458940 	 296.580632 	 296.522374 	 296.511567
4:39:11.825 PM 7/20/2023 	 1.042303 	 2.016584 	 296.743902 	 295.590843 	 296.433824 	 296.558811 	 296.533440 	 296.441343
4:39:22.324 PM 7/20/2023 	 0.800682 	 1.719030 	 296.744975 	 295.592529 	 296.449405 	 296.595528 	 296.554186 	 296.377032
4:39:32.324 PM 7/20/2023 	 1.072632 	 1.302117 	 296.743902 	 295.594062 	 296.457442 	 296.561751 	 296.538730 	 296.379900
4:39:42.325 PM 7/20/2023 	 0.448178 	 1.797614 	 296.744056 	 295.594982 	 296.459974 	 296.558176 	 296.562404 	 296.508373
4:39:52.325 PM 7/20/2023 	 1.127758 	 1.538414 	 296.746355 	 295.596974 	 296.450759 	 296.578090 	 296.545203 	 296.716659
4:40:02.824 PM 7/20/2023 	 0.965672 	 1.153724 	 296.747275 	 295.597434 	 296.459091 	 296.576085 	 296.531452 	 296.724047
4:40:12.825 PM 7/20/2023 	 1.431160 	 1.543170 	 296.751720 	 295.599580 	 296.439222 	 296.568906 	 296.547764 	 296.711704
4:40:23.325 PM 7/20/2023 	 0.581097 	 1.854859 	 296.752947 	 295.601266 	 296.436881 	 296.565625 	 296.548242 	 296.556699
4:40:33.825 PM 7/20/2023 	 0.772657 	 1.733533 	 296.754326 	 295.603259 	 296.466855 	 296.575861 	 296.527469 	 296.564585
4:40:44.325 PM 7/20/2023 	 1.215847 	 1.080762 	 296.754633 	 295.605711 	 296.454899 	 296.596792 	 296.545114 	 296.577531
4:40:54.325 PM 7/20/2023 	 1.607592 	 0.996630 	 296.753866 	 295.606631 	 296.471122 	 296.560865 	 296.543481 	 296.451386
4:41:04.825 PM 7/20/2023 	 0.396974 	 1.705028 	 296.752333 	 295.608317 	 296.464077 	 296.584358 	 296.518583 	 296.438701
4:41:15.325 PM 7/20/2023 	 0.541157 	 0.752160 	 296.751260 	 295.610463 	 296.449017 	 296.573061 	 296.543932 	 296.406252
4:41:25.325 PM 7/20/2023 	 0.829702 	 0.514839 	 296.752487 	 295.612456 	 296.436462 	 296.560508 	 296.547353 	 296.384296
4:41:35.825 PM 7/20/2023 	 0.785911 	 1.890125 	 296.750954 	 295.614755 	 296.457142 	 296.558163 	 296.525275 	 296.511649
4:41:45.825 PM 7/20/2023 	 0.714505 	 1.957934 	 296.752947 	 295.615062 	 296.468945 	 296.584057 	 296.530028 	 296.618820
4:41:55.825 PM 7/20/2023 	 0.420842 	 1.572516 	 296.752640 	 295.618741 	 296.453095 	 296.571030 	 296.565392 	 296.544250
4:42:06.325 PM 7/20/2023 	 1.059439 	 1.563467 	 296.752793 	 295.618894 	 296.468606 	 296.591235 	 296.539086 	 296.540496
4:42:16.325 PM 7/20/2023 	 1.031017 	 1.611090 	 296.753560 	 295.621960 	 296.452518 	 296.569044 	 296.561997 	 296.427612
4:42:26.825 PM 7/20/2023 	 1.108624 	 2.144943 	 296.752027 	 295.623799 	 296.472703 	 296.579358 	 296.530497 	 296.393753
4:42:37.325 PM 7/20/2023 	 0.529480 	 2.190585 	 296.752793 	 295.625638 	 296.435159 	 296.564374 	 296.538534 	 296.532426
4:42:47.326 PM 7/20/2023 	 0.568556 	 2.248593 	 296.752333 	 295.626865 	 296.471238 	 296.561920 	 296.530912 	 296.566618
4:42:57.826 PM 7/20/2023 	 1.979428 	 1.672914 	 296.753713 	 295.628551 	 296.465592 	 296.575067 	 296.543590 	 296.575537
