Timestamp	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
12:00:04.910 AM 2025-08-01 	 244.630902 	 244.820833 	 296.176977 	 296.103659 	 -66734.500926 	 295.966444 	 296.728821 	 296.348726
12:00:10.069 AM 2025-08-01 	 244.248717 	 243.455099 	 296.177590 	 296.105039 	 -66734.044716 	 295.946241 	 296.713818 	 296.345932
12:00:15.189 AM 2025-08-01 	 244.197893 	 244.617811 	 296.178816 	 296.104425 	 -66733.721581 	 295.957628 	 296.734579 	 296.322526
12:00:20.346 AM 2025-08-01 	 245.077247 	 245.133173 	 296.178050 	 296.103046 	 -66733.468150 	 295.944836 	 296.734958 	 296.341238
12:00:25.493 AM 2025-08-01 	 243.867286 	 243.633435 	 296.178816 	 296.101973 	 -66733.081681 	 295.958317 	 296.713193 	 296.332146
12:00:30.649 AM 2025-08-01 	 244.641973 	 244.037714 	 296.177897 	 296.101359 	 -66732.897955 	 295.963215 	 296.708690 	 296.345970
12:00:35.786 AM 2025-08-01 	 245.609137 	 244.332675 	 296.177131 	 296.100286 	 -66732.581196 	 295.959103 	 296.708342 	 296.333401
12:00:40.911 AM 2025-08-01 	 244.487740 	 243.795651 	 296.177437 	 296.098753 	 -66732.441825 	 295.943953 	 296.707776 	 296.304632
12:00:46.047 AM 2025-08-01 	 244.510133 	 244.101694 	 296.176977 	 296.098140 	 -66732.118747 	 295.950165 	 296.747323 	 296.342332
12:00:51.217 AM 2025-08-01 	 244.499314 	 245.179772 	 296.176211 	 296.098753 	 -66731.808350 	 295.952666 	 296.717414 	 296.323209
12:00:56.341 AM 2025-08-01 	 244.774065 	 244.355345 	 296.176058 	 296.095994 	 -66731.605647 	 295.964072 	 296.696395 	 296.326615
12:01:01.498 AM 2025-08-01 	 244.803754 	 243.561899 	 296.173912 	 296.094308 	 -66731.371277 	 295.929248 	 296.711412 	 296.337413
12:01:06.643 AM 2025-08-01 	 243.946038 	 244.397914 	 296.171920 	 296.094001 	 -66731.098909 	 295.948368 	 296.715002 	 296.336776
12:01:11.811 AM 2025-08-01 	 244.939872 	 244.870706 	 296.171767 	 296.092008 	 -66730.858218 	 295.930924 	 296.707918 	 296.353188
12:01:16.963 AM 2025-08-01 	 244.915718 	 244.255597 	 296.171307 	 296.092161 	 -66730.750543 	 295.953536 	 296.714056 	 296.329719
12:01:22.113 AM 2025-08-01 	 245.087060 	 243.928395 	 296.170234 	 296.090015 	 -66730.408524 	 295.934269 	 296.701395 	 296.329269
12:01:27.255 AM 2025-08-01 	 244.200157 	 243.689606 	 296.169314 	 296.089402 	 -66730.180518 	 295.938986 	 296.716907 	 296.334922
12:01:32.396 AM 2025-08-01 	 245.138387 	 244.307234 	 296.170540 	 296.088329 	 -66729.895520 	 295.944883 	 296.714810 	 296.322483
