Timestamp                   	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
11:19:24.588 AM 9/20/2023 	 20289.924451 	 20291.974207 	 294.905408 	 294.709589 	 -65760.292152 	 -65760.292152 	 -65760.292152 	 -65760.292152
11:19:34.588 AM 9/20/2023 	 20289.521855 	 20291.932852 	 294.918277 	 294.710662 	 -65760.337929 	 -65760.337929 	 -65760.337929 	 -65760.337929
11:19:44.588 AM 9/20/2023 	 20289.554223 	 20291.872513 	 294.920422 	 294.712807 	 -65760.475263 	 -65760.475263 	 -65760.475263 	 -65760.475263
11:19:54.588 AM 9/20/2023 	 20289.573729 	 20290.870826 	 294.927163 	 294.715259 	 -65760.658377 	 -65760.658377 	 -65760.658377 	 -65760.658377
11:20:04.589 AM 9/20/2023 	 20289.866930 	 20291.606330 	 294.928082 	 294.719550 	 -65760.921610 	 -65760.921610 	 -65760.921610 	 -65760.921610
11:20:14.589 AM 9/20/2023 	 20289.907530 	 20291.534799 	 294.934823 	 294.722461 	 -65761.173404 	 -65761.173404 	 -65761.173404 	 -65761.173404
11:20:24.589 AM 9/20/2023 	 20290.626431 	 20292.300505 	 294.943556 	 294.726905 	 -65761.465264 	 -65761.465264 	 -65761.465264 	 -65761.465264
11:20:35.089 AM 9/20/2023 	 20289.987095 	 20291.724781 	 294.950297 	 294.732116 	 -65761.894485 	 -65761.894485 	 -65761.894485 	 -65761.894485
11:20:45.590 AM 9/20/2023 	 20290.533391 	 20291.511643 	 294.961940 	 294.735334 	 -65762.203536 	 -65762.203536 	 -65762.203536 	 -65762.203536
11:20:56.089 AM 9/20/2023 	 20289.923995 	 20291.569662 	 294.970060 	 294.738398 	 -65762.649959 	 -65762.649959 	 -65762.649959 	 -65762.649959
11:21:06.590 AM 9/20/2023 	 20291.436159 	 20291.980382 	 294.973737 	 294.741463 	 -65763.039165 	 -65763.039165 	 -65763.039165 	 -65763.039165
11:21:17.090 AM 9/20/2023 	 20290.603857 	 20291.220791 	 294.984921 	 294.744528 	 -65763.479902 	 -65763.479902 	 -65763.479902 	 -65763.479902
11:21:27.589 AM 9/20/2023 	 20291.436626 	 20292.721819 	 294.988904 	 294.747593 	 -65764.006521 	 -65764.006521 	 -65764.006521 	 -65764.006521
11:21:37.590 AM 9/20/2023 	 20291.779317 	 20292.941061 	 294.991662 	 294.751271 	 -65764.464474 	 -65764.464474 	 -65764.464474 	 -65764.464474
11:21:47.590 AM 9/20/2023 	 20291.664540 	 20292.991194 	 294.993960 	 294.756788 	 -65765.036944 	 -65765.036944 	 -65765.036944 	 -65765.036944
11:21:57.590 AM 9/20/2023 	 20291.035815 	 20292.500651 	 294.997178 	 294.761385 	 -65765.472043 	 -65765.472043 	 -65765.472043 	 -65765.472043
11:22:08.091 AM 9/20/2023 	 20291.317336 	 20293.283300 	 295.005144 	 294.762611 	 -65766.033120 	 -65766.033120 	 -65766.033120 	 -65766.033120
11:22:18.590 AM 9/20/2023 	 20291.676086 	 20293.428389 	 295.006983 	 294.764143 	 -65766.645760 	 -65766.645760 	 -65766.645760 	 -65766.645760
11:22:29.090 AM 9/20/2023 	 20290.936400 	 20293.631772 	 295.024449 	 294.765982 	 -65767.138189 	 -65767.138189 	 -65767.138189 	 -65767.138189
11:22:39.591 AM 9/20/2023 	 20291.868885 	 20294.886805 	 295.039770 	 294.766289 	 -65767.613464 	 -65767.613464 	 -65767.613464 	 -65767.613464
11:22:49.591 AM 9/20/2023 	 20291.946187 	 20293.953213 	 295.046970 	 294.767208 	 -65768.065854 	 -65768.065854 	 -65768.065854 	 -65768.065854
11:23:00.091 AM 9/20/2023 	 20291.849168 	 20294.164772 	 295.058155 	 294.769354 	 -65768.432363 	 -65768.432363 	 -65768.432363 	 -65768.432363
11:23:10.591 AM 9/20/2023 	 20292.501119 	 20294.371187 	 295.055091 	 294.772725 	 -65768.947788 	 -65768.947788 	 -65768.947788 	 -65768.947788
11:23:21.091 AM 9/20/2023 	 20292.485320 	 20294.517153 	 295.055244 	 294.775637 	 -65769.468967 	 -65769.468967 	 -65769.468967 	 -65769.468967
11:23:31.091 AM 9/20/2023 	 20293.623430 	 20294.358437 	 295.055244 	 294.777016 	 -65769.858437 	 -65769.858437 	 -65769.858437 	 -65769.858437
11:23:41.091 AM 9/20/2023 	 20292.977900 	 20294.650548 	 295.053405 	 294.779774 	 -65770.328112 	 -65770.328112 	 -65770.328112 	 -65770.328112
11:23:51.092 AM 9/20/2023 	 20292.184939 	 20294.113960 	 295.062138 	 294.780387 	 -65770.792082 	 -65770.792082 	 -65770.792082 	 -65770.792082
11:24:01.591 AM 9/20/2023 	 20292.524962 	 20295.069323 	 295.061219 	 294.782226 	 -65771.233159 	 -65771.233159 	 -65771.233159 	 -65771.233159
11:24:11.592 AM 9/20/2023 	 20292.557245 	 20294.998932 	 295.057082 	 294.785904 	 -65771.788829 	 -65771.788829 	 -65771.788829 	 -65771.788829
11:24:21.592 AM 9/20/2023 	 20294.119039 	 20294.873394 	 295.056469 	 294.786977 	 -65772.333071 	 -65772.333071 	 -65772.333071 	 -65772.333071
11:24:32.092 AM 9/20/2023 	 20293.455138 	 20296.175521 	 295.059227 	 294.791574 	 -65772.946096 	 -65772.946096 	 -65772.946096 	 -65772.946096
11:24:42.592 AM 9/20/2023 	 20293.114079 	 20295.851277 	 295.072710 	 294.793873 	 -65773.467482 	 -65773.467482 	 -65773.467482 	 -65773.467482
11:24:53.092 AM 9/20/2023 	 20293.158196 	 20295.085389 	 295.078225 	 294.796018 	 -65774.149337 	 -65774.149337 	 -65774.149337 	 -65774.149337
11:25:03.092 AM 9/20/2023 	 20293.628306 	 20296.420292 	 295.091248 	 294.800615 	 -65774.768202 	 -65774.768202 	 -65774.768202 	 -65774.768202
11:25:13.592 AM 9/20/2023 	 20294.598348 	 20295.578604 	 295.091401 	 294.804753 	 -65775.467338 	 -65775.467338 	 -65775.467338 	 -65775.467338
11:25:24.092 AM 9/20/2023 	 20294.194166 	 20296.190633 	 295.088184 	 294.808431 	 -65776.051898 	 -65776.051898 	 -65776.051898 	 -65776.051898
11:25:34.093 AM 9/20/2023 	 20294.680907 	 20297.184989 	 295.082822 	 294.810117 	 -65776.733928 	 -65776.733928 	 -65776.733928 	 -65776.733928
11:25:44.592 AM 9/20/2023 	 20294.867746 	 20296.906550 	 295.082515 	 294.811189 	 -65777.461860 	 -65777.461860 	 -65777.461860 	 -65777.461860
11:25:55.093 AM 9/20/2023 	 20294.867666 	 20296.776772 	 295.078225 	 294.812109 	 -65778.121056 	 -65778.121056 	 -65778.121056 	 -65778.121056
11:26:05.592 AM 9/20/2023 	 20295.249283 	 20297.215520 	 295.079145 	 294.813948 	 -65778.774563 	 -65778.774563 	 -65778.774563 	 -65778.774563
11:26:16.092 AM 9/20/2023 	 20295.264075 	 20297.954274 	 295.084507 	 294.817319 	 -65779.439579 	 -65779.439579 	 -65779.439579 	 -65779.439579
11:26:26.093 AM 9/20/2023 	 20296.459659 	 20297.429855 	 295.081902 	 294.820537 	 -65780.030104 	 -65780.030104 	 -65780.030104 	 -65780.030104
11:26:36.592 AM 9/20/2023 	 20295.868113 	 20297.090572 	 295.084047 	 294.823909 	 -65780.655066 	 -65780.655066 	 -65780.655066 	 -65780.655066
11:26:47.092 AM 9/20/2023 	 20295.793623 	 20297.695612 	 295.083281 	 294.828200 	 -65781.320207 	 -65781.320207 	 -65781.320207 	 -65781.320207
11:26:57.592 AM 9/20/2023 	 20297.242102 	 20297.495914 	 295.099062 	 294.829885 	 -65781.899374 	 -65781.899374 	 -65781.899374 	 -65781.899374
11:27:07.592 AM 9/20/2023 	 20296.631723 	 20297.981578 	 295.109940 	 294.830805 	 -65782.587536 	 -65782.587536 	 -65782.587536 	 -65782.587536
11:27:18.092 AM 9/20/2023 	 20296.539661 	 20298.132507 	 295.113004 	 294.833257 	 -65783.241335 	 -65783.241335 	 -65783.241335 	 -65783.241335
11:27:28.592 AM 9/20/2023 	 20296.961388 	 20298.521975 	 295.107642 	 294.836015 	 -65783.941061 	 -65783.941061 	 -65783.941061 	 -65783.941061
11:31:43.279 AM 9/20/2023 	 20311.418800 	 20312.064683 	 295.192216 	 294.889039 	 -65830.574813 	 -65830.574813 	 -65830.574813 	 -65830.574813
11:31:53.280 AM 9/20/2023 	 20311.679089 	 20313.617306 	 295.196660 	 294.893330 	 -65832.441374 	 -65832.441374 	 -65832.441374 	 -65832.441374
11:32:03.779 AM 9/20/2023 	 20312.399079 	 20313.650080 	 295.197579 	 294.896701 	 -65834.250659 	 -65834.250659 	 -65834.250659 	 -65834.250659
11:32:14.280 AM 9/20/2023 	 20313.127698 	 20315.305650 	 295.198192 	 294.900073 	 -65835.881602 	 -65835.881602 	 -65835.881602 	 -65835.881602
11:32:24.779 AM 9/20/2023 	 20313.356054 	 20314.502505 	 295.206006 	 294.905896 	 -65837.414816 	 -65837.414816 	 -65837.414816 	 -65837.414816
11:32:37.780 AM 9/20/2023 	 20313.237355 	 20315.998477 	 295.228376 	 294.908042 	 -65839.000154 	 -65839.000154 	 -65839.000154 	 -65839.000154
11:33:30.873 AM 9/20/2023 	 20313.379309 	 20314.705040 	 295.246455 	 294.909115 	 -65836.949862 	 -65836.949862 	 -65836.949862 	 -65836.949862
11:33:41.373 AM 9/20/2023 	 20313.924808 	 20315.392025 	 295.236956 	 294.913406 	 -65838.213140 	 -65838.213140 	 -65838.213140 	 -65838.213140
11:33:51.872 AM 9/20/2023 	 20314.673336 	 20316.133667 	 295.234045 	 294.914019 	 -65839.441960 	 -65839.441960 	 -65839.441960 	 -65839.441960
11:34:01.872 AM 9/20/2023 	 20314.780976 	 20315.268071 	 295.235577 	 294.916317 	 -65840.353577 	 -65840.353577 	 -65840.353577 	 -65840.353577
11:34:45.637 AM 9/20/2023 	 20317.663327 	 20318.955307 	 295.209836 	 294.926432 	 -65850.165873 	 -65850.165873 	 -65850.165873 	 -65850.165873
